"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM'}"
voltage,current,solute_3,solute_2,solute_1
30,0.012677295715432337939278478078493364240312972055462456183768656447851822935330815,0.012677295715432337939278478078493364240312972055462456183768656447851822935330815,0.012677295715432337939278478078493364240312972055462456183768656447851822935330815,0.012677295715432337939278478078493364240312972055462456183768656447851822935330815,16554.51432261148479843672207796044600139574426143260855818438721733086378059139,16554.514322611484798436722077960446001395744261432608558184387217330863780591389,16554.514322611484798436722077960446001395744261432608558184387217330863780591389,16554.514322611484798436722077960446001395744261432608558184387217330863780591389,12916.123205386386523976609049877523141156594738699811945652908435080342079527553,12916.123205386386523976609049877523141156594738699811945652908435080342079527553,12916.123205386386523976609049877523141156594738699811945652908435080342079527553,12916.123205386386523976609049877523141156594738699811945652908435080342079527552,16554.514322611484798436722077960446001395744261432608558184387217330863780591389,16554.514322611484798436722077960446001395744261432608558184387217330863780591389,16554.514322611484798436722077960446001395744261432608558184387217330863780591389,16554.514322611484798436722077960446001395744261432608558184387217330863780591389
40,0.017192883607301700505943557963466369323364988150014425998199693979372442511183528,0.017192883607301700505943557963466369323364988150014425998199693979372442511183528,0.017192883607301700505943557963466369323364988150014425998199693979372442511183528,0.017192883607301700505943557963466369323364988150014425998199693979372442511183528,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,16736.094237686042261994219594049090088760697072207790507466742577817317003140125,16736.094237686042261994219594049090088760697072207790507466742577817317003140125,16736.094237686042261994219594049090088760697072207790507466742577817317003140125,16736.094237686042261994219594049090088760697072207790507466742577817317003140124,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,22646.319148602367984530691966215875992604420178052821476409680709405796492367293
50,0.021882470043086790133037506451477738364475729155680718360017631165799090314587039,0.021882470043086790133037506451477738364475729155680718360017631165799090314587039,0.021882470043086790133037506451477738364475729155680718360017631165799090314587039,0.021882470043086790133037506451477738364475729155680718360017631165799090314587039,29061.906718636614916562057829320380612699927861156922656774402926516940039583076,29061.906718636614916562057829320380612699927861156922656774402926516940039583076,29061.906718636614916562057829320380612699927861156922656774402926516940039583076,29061.906718636614916562057829320380612699927861156922656774402926516940039583076,20347.067526744372037626927188717036066826015955423348444050602168153975780624161,20347.067526744372037626927188717036066826015955423348444050602168153975780624161,20347.067526744372037626927188717036066826015955423348444050602168153975780624161,20347.067526744372037626927188717036066826015955423348444050602168153975780624161,29061.906718636614916562057829320380612699927861156922656774402926516940039583075,29061.906718636614916562057829320380612699927861156922656774402926516940039583076,29061.906718636614916562057829320380612699927861156922656774402926516940039583076,29061.906718636614916562057829320380612699927861156922656774402926516940039583076
60,0.026751170230153309021369693979001135117727253168419534909814676570751798466465993,0.026751170230153309021369693979001135117727253168419534909814676570751798466465993,0.026751170230153309021369693979001135117727253168419534909814676570751798466465993,0.026751170230153309021369693979001135117727253168419534909814676570751798466465993,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,23826.112538110607079426219500751057938140786254157690025862505412822293737368392,23826.112538110607079426219500751057938140786254157690025862505412822293737368391,23826.112538110607079426219500751057938140786254157690025862505412822293737368391,23826.112538110607079426219500751057938140786254157690025862505412822293737368391,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,35789.99219966914968668740640091160480143208215280773702787513059711910806228587
70,0.031813472517248474650888530224934208053004150509049846004523410991339255414928745,0.031813472517248474650888530224934208053004150509049846004523410991339255414928745,0.031813472517248474650888530224934208053004150509049846004523410991339255414928745,0.031813472517248474650888530224934208053004150509049846004523410991339255414928745,42835.032614548159405397023141374982764216890160305173229583431065350682689471406,42835.032614548159405397023141374982764216890160305173229583431065350682689471406,42835.032614548159405397023141374982764216890160305173229583431065350682689471406,42835.032614548159405397023141374982764216890160305173229583431065350682689471406,27245.840311148662370403737083779384458387861682242647241869325614503198015690798,27245.840311148662370403737083779384458387861682242647241869325614503198015690798,27245.840311148662370403737083779384458387861682242647241869325614503198015690798,27245.840311148662370403737083779384458387861682242647241869325614503198015690798,42835.032614548159405397023141374982764216890160305173229583431065350682689471406,42835.032614548159405397023141374982764216890160305173229583431065350682689471407,42835.032614548159405397023141374982764216890160305173229583431065350682689471406,42835.032614548159405397023141374982764216890160305173229583431065350682689471406
80,0.037097395910439858450334117397909176261782653035609326189328590641988568233919726,0.037097395910439858450334117397909176261782653035609326189328590641988568233919726,0.037097395910439858450334117397909176261782653035609326189328590641988568233919725,0.037097395910439858450334117397909176261782653035609326189328590641988568233919725,50227.024811509350926453595836387726912963987358229300295179501944162496647595773,50227.024811509350926453595836387726912963987358229300295179501944162496647595772,50227.024811509350926453595836387726912963987358229300295179501944162496647595772,50227.024811509350926453595836387726912963987358229300295179501944162496647595771,30661.16361563463328050349370305097949528514626102748018104448995870031598575265,30661.16361563463328050349370305097949528514626102748018104448995870031598575265,30661.16361563463328050349370305097949528514626102748018104448995870031598575265,30661.16361563463328050349370305097949528514626102748018104448995870031598575265,50227.024811509350926453595836387726912963987358229300295179501944162496647595772,50227.024811509350926453595836387726912963987358229300295179501944162496647595772,50227.024811509350926453595836387726912963987358229300295179501944162496647595772,50227.024811509350926453595836387726912963987358229300295179501944162496647595771
90,0.042644715479763770645250564356679826640479959315486773977687549115013955062306924,0.042644715479763770645250564356679826640479959315486773977687549115013955062306924,0.042644715479763770645250564356679826640479959315486773977687549115013955062306924,0.042644715479763770645250564356679826640479959315486773977687549115013955062306924,58022.544095510338751191647245329624990840191041696437297062002235990037187002698,58022.544095510338751191647245329624990840191041696437297062002235990037187002699,58022.544095510338751191647245329624990840191041696437297062002235990037187002699,58022.544095510338751191647245329624990840191041696437297062002235990037187002698,34106.54945918069743269819068523946590624049815167520904669265415421289330489745,34106.54945918069743269819068523946590624049815167520904669265415421289330489745,34106.54945918069743269819068523946590624049815167520904669265415421289330489745,34106.549459180697432698190685239465906240498151675209046692654154212893304897451,58022.544095510338751191647245329624990840191041696437297062002235990037187002699,58022.544095510338751191647245329624990840191041696437297062002235990037187002699,58022.544095510338751191647245329624990840191041696437297062002235990037187002699,58022.544095510338751191647245329624990840191041696437297062002235990037187002698
100,0.048509755422597923676177382519621169619649014096715738381766084920384945668226855,0.048509755422597923676177382519621169619649014096715738381766084920384945668226855,0.048509755422597923676177382519621169619649014096715738381766084920384945668226855,0.048509755422597923676177382519621169619649014096715738381766084920384945668226855,66302.222224025475269291118794910411728515617811312852805178090581067252071889706,66302.222224025475269291118794910411728515617811312852805178090581067252071889707,66302.222224025475269291118794910411728515617811312852805178090581067252071889707,66302.222224025475269291118794910411728515617811312852805178090581067252071889707,37598.573167555565388648928684307943328338877613854437424787471552856821009744558,37598.573167555565388648928684307943328338877613854437424787471552856821009744559,37598.573167555565388648928684307943328338877613854437424787471552856821009744559,37598.573167555565388648928684307943328338877613854437424787471552856821009744558,66302.222224025475269291118794910411728515617811312852805178090581067252071889707,66302.222224025475269291118794910411728515617811312852805178090581067252071889707,66302.222224025475269291118794910411728515617811312852805178090581067252071889707,66302.222224025475269291118794910411728515617811312852805178090581067252071889707
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM'}"
voltage,current,solute_3,solute_2,solute_1
-150,-0.085214015506443401539810560858163302066910482209934595394363772366179471535329951,-119063.34835567717604125978447066771018899809149983743057396000929284883971052983,-55669.300125627162541962786278549954928270026707761473386892281690507128982399836,-119063.34835567717604125978447066771018899809149983743057396000929284883971052983
-140,-0.076597471438555517486559893960379813463380186950922266105476046935483880731437268,-106534.49573557421442908364759911644566928331193365594975261512825137944068240628,-51998.54289138305088377462673586430840121769537346662422901648225890165073477179,-106534.49573557421442908364759911644566928331193365594975261512825137944068240628
-130,-0.068713898374149346434284667719813284403192301061140493166123555940433483778766275,-95144.09322318637396038601696937533698810714329608081015649842580379352545785589,-48349.334811058186474514105054615237156879487818405682885395520118126708813117628,-95144.093223186373960386016969375336988107143296080810156498425803793525457855889
-120,-0.061464663623589173788065534376644939720683003174884619557167731643897234660150549,-84736.876430165981758076162469282242525906351893896389636181086040791305221750548,-44727.04873370047305784895796793904989282259728868953939118297738318119897235943,-84736.876430165981758076162469282242525906351893896389636181086040791305221750548
-110,-0.054757968233566065104981118387776457634846259071221945273808220012245159157051449,-75167.392913756953757450688632089693133515917843590204766700441145595111431773821,-41140.467256121172937781129334302430613295465999604345970957976026812016882803416,-75167.39291375695375745068863208969313351591784359020476670044114559511143177382
-100,-0.048509755422597923676177382519621169619649014096715738381766084920384945668226855,-66302.222224025475269291118794910411728515617811312852805178090581067252071889707,-37598.573167555565388648928684307943328338877613854437424787471552856821009744559,-66302.222224025475269291118794910411728515617811312852805178090581067252071889707
-90,-0.042644715479763770645250564356679826640479959315486773977687549115013955062306924,-58022.544095510338751191647245329624990840191041696437297062002235990037187002699,-34106.54945918069743269819068523946590624049815167520904669265415421289330489745,-58022.544095510338751191647245329624990840191041696437297062002235990037187002699
-80,-0.037097395910439858450334117397909176261782653035609326189328590641988568233919725,-50227.024811509350926453595836387726912963987358229300295179501944162496647595772,-30661.16361563463328050349370305097949528514626102748018104448995870031598575265,-50227.024811509350926453595836387726912963987358229300295179501944162496647595772
-70,-0.031813472517248474650888530224934208053004150509049846004523410991339255414928745,-42835.032614548159405397023141374982764216890160305173229583431065350682689471406,-27245.840311148662370403737083779384458387861682242647241869325614503198015690798,-42835.032614548159405397023141374982764216890160305173229583431065350682689471406
-60,-0.026751170230153309021369693979001135117727253168419534909814676570751798466465993,-35789.99219966914968668740640091160480143208215280773702787513059711910806228587,-23826.112538110607079426219500751057938140786254157690025862505412822293737368391,-35789.99219966914968668740640091160480143208215280773702787513059711910806228587
-50,-0.021882470043086790133037506451477738364475729155680718360017631165799090314587039,-29061.906718636614916562057829320380612699927861156922656774402926516940039583076,-20347.067526744372037626927188717036066826015955423348444050602168153975780624161,-29061.906718636614916562057829320380612699927861156922656774402926516940039583076
-40,-0.017192883607301700505943557963466369323364988150014425998199693979372442511183528,-22646.319148602367984530691966215875992604420178052821476409680709405796492367293,-16736.094237686042261994219594049090088760697072207790507466742577817317003140125,-22646.319148602367984530691966215875992604420178052821476409680709405796492367293
-30,-0.012677295715432337939278478078493364240312972055462456183768656447851822935330815,-16554.514322611484798436722077960446001395744261432608558184387217330863780591389,-12916.123205386386523976609049877523141156594738699811945652908435080342079527553,-16554.514322611484798436722077960446001395744261432608558184387217330863780591389
-20,-0.0083289652300453457883526857267394293972659209927594018952309256158939855289718957,-10789.337517620308026545405214052150677113758246894294257571878729768398960390709,-8833.6938124485195123715380315480705587073564190990454463579574811580479364948449,-10789.337517620308026545405214052150677113758246894294257571878729768398960390709
-10,-0.0041224075008007990475850702029804099863063782889100887601685538401733539193662143,-5308.9910439470926518986872032840070557063659179989887056329814822707776450083425,-4496.9166032428357340306649506106648658187669603318219966293817809063099464850126,-5308.9910439470926518986872032840070557063659179989887056329814822707776450083426
0,1.1068113620209039672521154273627816132371014974141242114150322411830525692996147e-83,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,-6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,0.0
10,0.0041224075008007990475850702029804099863063782889100887601685538401733539193662143,5308.9910439470926518986872032840070557063659179989887056329814822707776450083427,4496.9166032428357340306649506106648658187669603318219966293817809063099464850124,5308.9910439470926518986872032840070557063659179989887056329814822707776450083425
20,0.0083289652300453457883526857267394293972659209927594018952309256158939855289718957,10789.337517620308026545405214052150677113758246894294257571878729768398960390709,8833.6938124485195123715380315480705587073564190990454463579574811580479364948447,10789.337517620308026545405214052150677113758246894294257571878729768398960390709
30,0.012677295715432337939278478078493364240312972055462456183768656447851822935330815,16554.514322611484798436722077960446001395744261432608558184387217330863780591389,12916.123205386386523976609049877523141156594738699811945652908435080342079527553,16554.514322611484798436722077960446001395744261432608558184387217330863780591389
40,0.017192883607301700505943557963466369323364988150014425998199693979372442511183528,22646.319148602367984530691966215875992604420178052821476409680709405796492367293,16736.094237686042261994219594049090088760697072207790507466742577817317003140125,22646.319148602367984530691966215875992604420178052821476409680709405796492367293
50,0.021882470043086790133037506451477738364475729155680718360017631165799090314587039,29061.906718636614916562057829320380612699927861156922656774402926516940039583076,20347.067526744372037626927188717036066826015955423348444050602168153975780624161,29061.906718636614916562057829320380612699927861156922656774402926516940039583076
60,0.026751170230153309021369693979001135117727253168419534909814676570751798466465993,35789.99219966914968668740640091160480143208215280773702787513059711910806228587,23826.112538110607079426219500751057938140786254157690025862505412822293737368391,35789.99219966914968668740640091160480143208215280773702787513059711910806228587
70,0.031813472517248474650888530224934208053004150509049846004523410991339255414928745,42835.032614548159405397023141374982764216890160305173229583431065350682689471406,27245.840311148662370403737083779384458387861682242647241869325614503198015690798,42835.032614548159405397023141374982764216890160305173229583431065350682689471407
80,0.037097395910439858450334117397909176261782653035609326189328590641988568233919726,50227.024811509350926453595836387726912963987358229300295179501944162496647595772,30661.16361563463328050349370305097949528514626102748018104448995870031598575265,50227.024811509350926453595836387726912963987358229300295179501944162496647595772
90,0.042644715479763770645250564356679826640479959315486773977687549115013955062306924,58022.544095510338751191647245329624990840191041696437297062002235990037187002699,34106.54945918069743269819068523946590624049815167520904669265415421289330489745,58022.544095510338751191647245329624990840191041696437297062002235990037187002699
100,0.048509755422597923676177382519621169619649014096715738381766084920384945668226855,66302.222224025475269291118794910411728515617811312852805178090581067252071889707,37598.573167555565388648928684307943328338877613854437424787471552856821009744559,66302.222224025475269291118794910411728515617811312852805178090581067252071889707
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,295856046.71085780161577827799468910482775524568986930458392634317129310611527237,20729.433698919934473358501048546294204566750958210916403737750673053815661631496,295835317.27715888168130491949364055853355067893891109366752260542062005229961074,14272.268649879846306244232296900877584026877638020295317001880711564166629232422,591712093.42171560323155655598937820965551049137973860916785268634258621223054473,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,362422.29030437139582040268995301750306167822917386838570881126140700615572196847,1.8157254043604348771488202467312078579442844258109334206692064070489723749591822e-75,5.4445192943801645936966665264959797982895825623578826041549318402386675711018215e-76,1.5811982192093588313016105902294894663417499963836279517919765324711140043915467e-75
-140,270498094.55090820764681897932724891721630694342444518257520755796455636298739815,22909.567272223608961269040749603843843869630379363077060051070904041704764124875,270475184.98363598403785771028649931337246307379406581949814750689365232128263403,11807.210993411906006475779770185129488075194178286213239817197664721521159295191,540996189.1018164152936379586544978344326138868488903651504151159291127259747963,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,345305.66278659757237401048593214472132024824620055001460489337143655579160677642,1.4369623081016710042865731104298439273382671179901466840692684026470607645935417e-75,4.2707483875258871747841634621288127818953538399948659667561498160825269638472799e-76,1.2067081496041110417195047579840130035618060570512677935483845847742685792508266e-75
-130,247816440.13489366615984842312743513397271215144780796234916228715768272930739672,25318.987494959178415384314649220369871337289280810486671513728151415735822936556,247791121.14739870698143303881278591360284081415852715186249077342953131357157378,9787.7705490486960115904637811269758457996342663891382644297452479023276690111953,495632880.26978733231969684625487026794542430289561592469832457431536545861479344,1.7963230594596444820803611874624831107921280758027465280849303217950670950577848e-75,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-82,329875.25488356181023178378045477306836502084052606535763274958825348338772589951,-1.8187148618785126374282549918439640945075911727421270838515470493609779696330141e-75,5.0989856900597084631780420681447416085142061845766475588818653654085200851011386e-76,1.0898396292845912127733290163449669259813015565695886980918931620627403998304772e-75
-120,227585586.71098251196914810408990161348283588218906824067688305884193817034468361,27981.808654549879333770921591202499052728881436207167462989264607628656217526933,227557604.90232796208981433316831041098378315330763203350942006957733054168846608,8133.3408258431783905122554106461030528366092811072278597652103515069350312553294,455171173.42196502393829620817980322696567176437813648135376611768387634068936722,0.0,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,316259.67812344143402755469598014019041262358131726711937924530426235009167581647,1.1778446180570879438772034823213699012537978294814697922691148529314063611931536e-76,1.5635900960324201342198915899019107580466501273300515665506054518127199874426426e-76,8.2279346750423350920345885455151059829749129057160550754463672905371875457743845e-76
-110,209604492.37899881377554937058600801912788104503573474530389240704508214886832546,30924.681160165988262750059677022719102768119062388033944983607901638836670257482,209573567.6978386477872866205263309964087782769166723572699474234371805100316552,6777.9031024898612540611506447583512348653649021350096643397227628210706877468014,419208984.75799762755109874117201603825576209007146949060778481409016429773665092,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,304590.82917220497875766309707202972680708548720248705948893158415251561174008682,-6.0636481631740970574743775331465950167272103899416760747345705589682128686494175e-76,1.9502113041495070090146587896612383677878515533118384668153426276442415187962044e-76,7.0611670221573123405820395926184392935932699385435023391372642134659505560406094e-76
-100,193694561.58446219399005538954178564119076608407555927425962969688489799070547637,34177.058268977331994079195178859424786681629871723197556794384352601885798467118,193660384.5261932166580613103466067817659794024456875510620729025005453888196779,5667.3854156804247310631378407710734753323375100340159224364981629382901323078396,387389123.16892438798011077908357128238153216815111854851925939376979598141095273,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,0.0,295007.73407515603907329714060944222909831258143577448270110914668005310113997062,2.9841168846113370863209373752299042548603817463590007159717980897008609546697151e-76,1.7741515671116253424368171656940195279310536466542572577627003061701002322184541e-76,8.7565041375394000451753795877273339994298826815427067416843646480177748030453029e-76
-90,179697861.08816506956771726685060020226567453110198884184886566379861416408651269,37771.490864250581363491171820879641089028783039612856216740501241670053309832225,179660089.59730081898635377567877932262458550231894922899264892329737249403320285,4757.4998226570644155060654615376384513599524639460012409091315089479274030263377,359395722.17633013913543453370120040453134906220397768369773132759722832817302537,6.2180413596680001302781733412162876912035202623941225972170664985213860982769475e-76,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,287660.94872269019716576054462324263513205394771454035667184621225392367528051438,4.7128588139178226767836320915925858318523560475623725461067080662410965188248095e-76,1.7608688261671050701454423725235454769226247170257123414046708093808778523793619e-76,8.0733975279271901421178431051537719711122001219182241880277121717860711874039094e-76
-80,167475542.56464695709875638658727400909062258808121010227858098479129459757611579,41743.953235529751030098947400442513401622819735664207827407750312375876250284793,167433798.6114114273477262876398735665772209652614744380707535770409822216998655,4011.9713056333777096535616558229793329497225592089886307213073953555133770870441,334951085.12929391419751277317454801818124517616242020455716196958258919515223158,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.4181271954264444951081785215841118799124801020421587878066369716472057048854796e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-82,282717.38222703082178300314710725432767417430747053810481673822765238320616433824,-6.9489223422338232488648240362776655626241643093297647754380572530034217278938942e-77,1.708875869668363739054900827891902953332377075080086044533668904535661467500044e-76,8.1414743468552698825742399947417048388560874727783085339689299706031889860940545e-76
-70,156906456.05052219351973992480205719507508847209492150121483383490222699836633402,46134.203121417315050379640363416256788695661830744979035754757154434973378446901,156860321.84740077620468954516169377881829977643309075623579808014507256339295557,3401.0873806050425432720063389360687634076718820991704781521186170867000486781248,313812912.10104438703947984960411439015017694418984300242966766980445399673266804,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,280365.94385708204267558466235945798724714575814308726093260443535443109926459361,1.2124239484019702254884913446982901041894313231775598142036920553215937430654685e-75,3.5335467791007057735163596936350880766256837265311622078306370777963109832881885e-76,9.4515715734278735995244355010533487219611874767834282377812663510661599236467011e-76
-60,147885940.37330967425474767855560941496471832105170127147186331729956944085742427,50986.179618385186952521824527921212518039588717708981739610584860585135065006106,147834954.19369128906779515673108149375220028146298356249012370671470885572235926,2900.5103241738718091184726254845970786680751168835713516520189983276633010108701,295771880.74661934850949535711121882992943664210340254294372663459913888171484853,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.9649931715335846568480364519196928459184266387911427484593708508116655818352449e-82,280825.55063430301662087266871452297077754985657125019734100636986747445039190345,-1.5080546164989953586603662712457240846357435651544356417561971408954135028739613e-76,1.2605937067162381391654575789386580567289309583529247155488897384537540697363956e-76,7.2751251614126400334946083631681389661889762487607102187928594938429335392303595e-76
-50,140324778.46231746299706612216194575840617774470381319541003198415057814953869945,56348.442938020628877087339346046324194339598710356508460551753707813087875053107,140268430.0193794423681890348225997120819834051051028389015714323968703364508244,2490.3044546708232382241991119656817660731942774024195277659622700681850427758491,280649556.9246349259941322443238915168123554894076263908200639683011562990773989,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,284358.35984343283988260020733089972188513482709701429566932924500403630171825076,3.5919640676673733900657696867154550271327077655261889581761240152459531581376156e-76,1.7328057905660776356339024012257430467441995550415789398632135932362698418355517e-76,8.6031155482769494831239800827117491078356225955454427215756370680628121490023917e-76
-40,134148307.09297145658682250388222217458676686903651538783425930942244985299012295,62274.660413945500006351999126613858535828169054738586977325707815071888812592171,134086032.43255751108681615188309556072823104086746064924728198371463478110131035,2154.139520011431550043747695031510464215946442841809584973008692392530702531321,268296614.18594291317364500776444434917353373807303077566851861884489970598024589,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-82,291289.47247079485915355661157273533237683116866006908395841515707805144181055574,-9.2375453940273510390003462273187600056705821975158691613974331482422186012853845e-76,2.8156692340950704745668549642078454591678761353529158812071108068777619999269381e-76,8.9788086008887263545107401675701145203021854574212899645403269029259523476884648e-76
-30,129295672.16125860177321167810048925721954996850538076953737708896688560448210684,68824.143622529340682564174492110498392061155703684357117309594786520529215607508,129226848.01763607243252911392599714672115790734967708518025977937209908395289123,1878.6382998150974376579705164948840781290879121355381661788186291668965463554954,258591344.32251720354642335620097851443909993701076153907475417793377120896421368,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-83,302020.83298970752509246134222160035576437401004239709733686893018102104911664089,-8.886601077047583564871413735837070822790457581522892967829574114338753412312556e-76,2.7381377262362062432334168602998051651386544714167289370777396405766514882342473e-76,9.9208727177970809260649679626048435965634935933477184666263610779522609202469077e-76
-20,125719222.04114488296106665968617839712125778863404532276898566591673668332583151,76062.441993080978229902900641498628996439267186682483779658024472690836526555859,125643159.59915180198283675678553689849226134936685864028520600789226399248930496,1652.8423062275720106434753558096635743892702175816401186573236966783108625756584,251438444.08228976592213331937235679424251557726809064553797133183347336665166302,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-76,2.9649931715335846568480364519196928459184266387911427484593708508116655818352449e-82,316989.81702193281382515450132497780631447388860615435762809716172426405795523799,-3.8341413607885799372008024399524976737696896525556844570938084881837225560912254e-76,1.3426953081187206419288290900585233523714715163975169596666055339655858787657499e-76,5.9461595219202377832319517779986507751797619897492663419685531630270175292305791e-76
-10,123384032.95950085980593117192577723438821099824148104561179937021962105386929088,84061.998848568997899472516751733430747215777999230938865348338055122883548485998,123299970.9606522908080316994090255009574637824634818146729340218815659309857424,1467.7741982053909697944700839892697426372873861847559302017660081183658094213123,246768065.91900171961186234385155446877642199648296209122359874043924210773858177,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.8826322501020961941578132171441458224206925654913887832243883271780082045620436e-82,336474.75201641062835942499359410936029183718490968017444168843884655052441895256,-1.7590475553633005977143589451680496771504732123998270495048438415087083566371873e-75,4.8714675893098385077539435688706051106502344816625206710895204267175652542312607e-76,1.1410872336659490571330924495347851636703465399028124362505782345121541393623343e-75
