"{'distance': [0.1, 0.105, 0.343, 0.71, 0.726, 0.832, 0.991], 'solute_4': [6.64, -1.17, 5.56, -18.18, 4.94, -7.28, 11.36], 'solute_3': [15.05, -11.23, 8.37, -14.32, 6.48, -17.66, 7.51], 'solute_2': [13.13, -12.15, 15.81, -15.26, 7.37, -19.46, 18.56], 'solute_1': [7.9, -7.52, 8.01, -12.0, 6.11, -6.72, 15.71]}","{'solute_4i': '354.0 nM', 'solute_3i': '79.0 nM', 'solute_1e': '161.0 uM', 'solute_2i': '263.0 mM', 'solute_3e': '11.0 nM', 'solute_1i': '130.0 mM', 'solute_2e': '49.0 mM', 'solute_4e': '16.0 uM'}"
voltage,current,solute_4,solute_3,solute_2,solute_1
70,0.00000000010181832343436974952029046884685270056945987987325411205621699680638527036705649,0.00000000010181832343436974952029046884685270056945987987325411205621699680638527036716639,0.00000000010181832343436974952029046884685270056945987987325411205621699680638527036725364,0.00000000010181832343436974952029046884685270056945987987325411205621699680638527036734086,0.0000000000011543554189889607934967256821003365687014123751899320795589894059249465234558012,0.0000000000011543554189889607934967256821003365687014123751899320795589894059252185744481834,0.000000000001154355418988960793496725682100336568701412375189932079558989405925490815930401,0.000000000001154355418988960793496725682100336568701412375189932079558989405925763019159745,0.00000000017443498715828469655334402084871960662954869449271733476316796327058029507055095,0.00000000017443498715828469655334402084871960662954869449271733476316796327058029507054818,0.00000000017443498715828469655334402084871960662954869449271733476316796327058029507071622,0.00000000017443498715828469655334402084871960662954869449271733476316796327058029507077615,0.00063552993092831716573713026664664367354151356983538137909629023377430819769028393,0.00063552993092831716573713026664664367354151356983538137909629023377430819769004342,0.00063552993092831716573713026664664367354151356983538137909629023377430819768977108,0.0006355299309283171657371302666466436735415135698353813790962902337743081976894989,0.000000013316688275463153073035513226941176994803124500064827244133578009204400849107481,0.000000013316688275463153073035513226941176994803124500064827244133578009204400885900807,0.000000013316688275463153073035513226941176994803124500064827244133578009204400885996308,0.000000013316688275463153073035513226941176994803124500064827244133578009204400886005174
80,0.00000000012551696838777178907678909733582501022054085921934848744794464020172467039151011,0.0000000001255169683877717890767890973358250102205408592193484874479446402017246703917906,0.00000000012551696838777178907678909733582501022054085921934848744794464020172467039190488,0.00000000012551696838777178907678909733582501022054085921934848744794464020172467039201948,0.0000000000014754449794863576623861241505315537407830806991679876766348640045983630794019144,0.0000000000014754449794863576623861241505315537407830806991679876766348640045986486360411441,0.0000000000014754449794863576623861241505315537407830806991679876766348640045990064368751777,0.0000000000014754449794863576623861241505315537407830806991679876766348640045993641275322893,0.00000000026265376324474489145893890621829193140392939146212856472996712502889387866849643,0.00000000026265376324474489145893890621829193140392939146212856472996712502889387866847142,0.00000000026265376324474489145893890621829193140392939146212856472996712502889387866854831,0.00000000026265376324474489145893890621829193140392939146212856472996712502889387866842404,0.00078344343137339344960278196728167531928853910937158474012033381365090240999898532,0.00078344343137339344960278196728167531928853910937158474012033381365090240999920835,0.00078344343137339344960278196728167531928853910937158474012033381365090240999885166,0.00078344343137339344960278196728167531928853910937158474012033381365090240999849396,0.000000019325625306774540508298970974675674533608459900292659392699398272799451902284242,0.000000019325625306774540508298970974675674533608459900292659392699398272799452126004945,0.000000019325625306774540508298970974675674533608459900292659392699398272799452124897858,0.000000019325625306774540508298970974675674533608459900292659392699398272799452124889341
90,0.00000000015423960669798038259009016867923464900171910880117614412656479503012308571341258,0.0000000001542396066979803825900901686792346490017191088011761441265647950301230857133142,0.00000000015423960669798038259009016867923464900171910880117614412656479503012308571324322,0.00000000015423960669798038259009016867923464900171910880117614412656479503012308571317179,0.0000000000019015681338452168611187552772354306600549352448335330566719164189217767156570348,0.0000000000019015681338452168611187552772354306600549352448335330566719164189214953681756461,0.0000000000019015681338452168611187552772354306600549352448335330566719164189212724379139159,0.000000000001901568133845216861118755277235430660054935244833533056671916418921049425139481,0.0000000004075565048233588382658533214057564024355527200776203534843883704388313816261621,0.00000000040755650482335883826585332140575640243555272007762035348438837043883138162616901,0.00000000040755650482335883826585332140575640243555272007762035348438837043883138162623584,0.0000000004075565048233588382658533214057564024355527200776203534843883704388313816261621,0.00096270514800455167817943548339879132890209706840980141784184821524438420436854279,0.00096270514800455167817943548339879132890209706840980141784184821524438420436854901,0.00096270514800455167817943548339879132890209706840980141784184821524438420436877055,0.00096270514800455167817943548339879132890209706840980141784184821524438420436899357,0.000000029496011663532484432798226865034362350333719866834404121268265559819012853111519,0.000000029496011663532484432798226865034362350333719866834404121268265559819012927685473,0.000000029496011663532484432798226865034362350333719866834404121268265559819012929072185,0.00000002949601166353248443279822686503436235033371986683440412126826555981901292913065
100,0.00000000018904985808224280915354408927559829469476530174246002574458438497816772069723075,0.00000000018904985808224280915354408927559829469476530174246002574458438497816772069697539,0.00000000018904985808224280915354408927559829469476530174246002574458438497816772069686915,0.00000000018904985808224280915354408927559829469476530174246002574458438497816772069676274,0.0000000000025810706200128168904744920023529166643545954248395099803479512186104593710321423,0.0000000000025810706200128168904744920023529166643545954248395099803479512186101127516196965,0.0000000000025810706200128168904744920023529166643545954248395099803479512186097816635889478,0.0000000000025810706200128168904744920023529166643545954248395099803479512186094495197619189,0.00000000065009339607834853486898982875748478798654998749614819496262336985090321461094941,0.00000000065009339607834853486898982875748478798654998749614819496262336985090321461094287,0.00000000065009339607834853486898982875748478798654998749614819496262336985090321461096092,0.00000000065009339607834853486898982875748478798654998749614819496262336985090321461100571,0.0011799449486048792605672300881467056590971785124722756044563319659399881054898582,0.0011799449486048792605672300881467056590971785124722756044563319659399881054896774,0.001179944948604879260567230088146705659097178512472275604456331965939988105490009,0.0011799449486048792605672300881467056590971785124722756044563319659399881054903412,0.000000046966147142258498274409513199223512845299256241142845413489021925111934925939723,0.000000046966147142258498274409513199223512845299256241142845413489021925111934801497004,0.000000046966147142258498274409513199223512845299256241142845413489021925111934800986977,0.000000046966147142258498274409513199223512845299256241142845413489021925111934800998205
"{'distance': [0.1, 0.105, 0.343, 0.71, 0.726, 0.832, 0.991], 'solute_4': [6.64, -1.17, 5.56, -18.18, 4.94, -7.28, 11.36], 'solute_3': [15.05, -11.23, 8.37, -14.32, 6.48, -17.66, 7.51], 'solute_2': [13.13, -12.15, 15.81, -15.26, 7.37, -19.46, 18.56], 'solute_1': [7.9, -7.52, 8.01, -12.0, 6.11, -6.72, 15.71]}","{'solute_4i': '354.0 nM', 'solute_3i': '79.0 nM', 'solute_1e': '161.0 uM', 'solute_2i': '263.0 mM', 'solute_3e': '11.0 nM', 'solute_1i': '130.0 mM', 'solute_2e': '49.0 mM', 'solute_4e': '16.0 uM'}"
voltage,current,solute_4,solute_3,solute_2,solute_1
-150,-0.00000000016289976293138243120851440336689428295010085828338924178035363708470869484180816,-0.00025959930666797042463696286102122923807506451763327520485820954389579930381593498,0.000000016507112636705187312464703036938336480999003320947555438330541324022659340404591,-0.00017489918445137706225324678633202119088865963378491202973182389765066757432518687,-0.000021057285137514857948270143406324013789900974973747936778055849572421936353484046
-140,-0.00000000010282673073007364017871800292320395611253327012681872411615174354994500009147628,-0.00028388278168954949839156242061362050410623251359736716926089846740120081606152955,0.000000015029893274924557581608528372920512842400367746478761451526033830225787634088212,-0.00015254777143174178557104024726035651281341195010509639749210956171240815561070898,0.00012077211682144452559996258966484800664991766211180737174015495493475092955206669
-130,-0.000000000063983190095314182765639047866721363724179087785441628091524487177907151399178018,-0.00025445426670208030765624570421948334168097178664403885692251952952897566496524734,0.0000000128830577640414615085584085553132492016403091096171774355241077753695818697787,-0.00013307574796340510579702233617158644406588956188702036564409665974974952083757227,0.00016567665717767230694291349952369615451143770591995185150283551437789326974583871
-120,-0.000000000040971551824178118602548474635520361164882422456275978096701798955470755898458729,-0.00018085468567981104971500743516774059281063117880183684367284266798204416913844975,0.000000010449234646348506334207586882055325507947479360773593167628936583549479444618243,-0.00011831813991587792397105610296025366102520332828767530026481420183162995182040073,0.00013503974648496123475233667704134463294781667399936168976523297765821187516972517
-110,-0.000000000027023612674242748065699807875823484797957211236073898747991036476743894616969735,-0.000096185355870063046167661208840755743241799442860927881513665869077040051959317755,0.0000000071361394331890013547362076074753435649186507288347382486872647278099233256252013,-0.00010830557765276969896239671249318659260527698693509116755533531963726153743532532,0.000076055929436841573003133303790349934258647819641814891411429897707427390315377212
-100,-0.00000000001920627886207713338049171488165603754463873504241949437455997061991767441458972,-0.000038633221444224767410249489025125836056076285689129359501838975086200921405199114,0.0000000038859670266909667200848747903848690243295597343709155029536873139196245488792614,-0.000098385338052192635266434640207425656335014069067726168193807154066534342325695591,0.000031463911752103356913832437739422826548204675644432453878290684977365846987955688
-90,-0.000000000014739481027559568499467041640563028094867579734330578220562312668005801383641113,-0.00001295535226052786867874230971433692773443013901307220961809553417922413934517594,0.0000000017919621759319807608470998224734477888120008553917052290310211567720980088106274,-0.000085383214736607529156881625201354084843139391504495434477131405444723820098158571,0.000010746910522917324945247467747025170366917410347206437329140428520322417456256776
-80,-0.000000000011499578222953894722336140976855035012797999060932523808556573331771772975166842,-0.0000039956453754666597721581367593726361412765343026079175443849432895408563591509628,0.00000000075127631616050035148668383947169932794324691896557016508209972312748902339507643,-0.000069877981208220666197977347572323057594427906154071837685835232451166586271997268,0.0000033605101531137811330726729699031877182958121801120501477852757589762963737993105
-70,-0.0000000000085732483585263681398918430252210327277598405001044740951227056717557907342867891,-0.0000011945622728928546230536343663482867580266254434486516926026712327766615746307008,0.00000000029517701893309416370833512578784323473760451424803555823412383509244352969125834,-0.000052987399741602256875556149240284434986775566271470930498764959184982207774165299,0.0000010182946755559422245259142623755931610858276121065439575021657953287576684075779
-60,-0.0000000000056500402392532624293251800805213879825910232034190716949418169304942785803165691,-0.00000035431846913116181399824201097510938956069463652563733460970128335175926456745888,0.00000000010854084000191362771618995667989464041259237660393023391911958977563273960095782,-0.000035129830262153737707489309122792067788090287665784362600783820468105574612340919,0.0000003080038218177988521353096464931256223167045661543422808141744424096702971935409
-50,-0.0000000000025980778905209301991483028854356248139888825645569367954733437970060931787677804,-0.00000010533235101449265164898317551277772463769192024858874947578278869951810036131836,0.000000000036912853611217672533455069633178039482439763693961005084146715312185831499461175,-0.000016187909669957238600208280892953130906316680621598978875242478319785263724062483,0.000000095385045910603297700497952142817075557638575174029626173999115913950433371873016
-40,0.00000000000068115978953310811083676381784925208628965155802423991583351254162882267809103831,-0.000000031538490640390222262307712726986707901619971211066325483014695112654737553992023,0.000000000012242204211516987285141129832621388097445776562572828344275141782073181416121424,0.0000042517530255821576659371188044540559906896216664509577520773498020683091827300804,0.00000003159465716917050140521700380429728036374710244477910991360663658012927301292209
-30,0.0000000000042926881892105868979385354874535924308626388298730679432093707776716947251545798,-0.0000000095354532628853382180032763238825333645239370799626576414300067720258964886877089,0.0000000000059883927392105197013510319433826112971259217149984207377797859842652547913563853,0.000026787660373260801166655993137046753801301854800801259809233530364901432974532179,0.000000012248807556871909987341883578482184500279346718619801986467899703045728348756609
-20,0.00000000000835940423872704278636573481302940993222275404929751310102254531579288003296386,-0.0000000029146366073840723577283641360494422599030659511639321891699736755978996807362086,0.0000000000067138478100801081527644985103348024389210048406399896786782095860093894459264751,0.000052170793655402708802103544072072561311734988941665233149528508587998618744717741,0.0000000063312399638345172659239098736254955209630885432583025918561719619432429168313991
-10,0.000000000013027289400752609341584347949861002477859574929525615654698607875915877669571059,-0.00000000090073993717853772629061654028280726859398443080493692530917421918413434153013604,0.000000000010238793903216308242054594337810547876848408778921080949013309903460879243718823,0.000081307863564220971483315053521489075937637789891161300396102463296739272147518853,0.0000000045795112847171831623268429887265103258437241981631044760573400729202920566592971
0,0.000000000018470025653105574314657989498485910498825972581006338753510280721068366530510613,-0.00000000028106199376434415666359845354711643615891634715204280114060419656866468081919693,0.000000000015457283265375156360564548181579457365068100042983077944183656106515964987427876,0.00011528180798703133699822811344931429166348028095911534584280873444175929474896208,0.0000000041877147744051011257726672645915823394778906794866974430607883550959812818395365
10,0.00000000002489438220509351401475218243687505756491744813892599521575911289806463877949134,-0.000000000088195877094523579468324662670420069269765621173606162124704677844283433975976359,0.000000000022489363963718813253783906716214360454613400671627302864587635969767420304216326,0.00015538300293240853919153991277306658678997649203170783061258463974341587248930078,0.0000000042944641366873378643130789409435888922050459167899356976394137750363258993315769
20,0.000000000032546808369306426987153648337089044897275256711851891904637093506501125399589743,-0.000000000027523984844785551557851380351219289352051754464978112687717149517680961005330966,0.000000000031793548625034975380121279989619049550763038786595546094575499309055854525640814,0.00020314970770610640622621334219346543242180668352498101590677997248302380484441421,0.0000000046469610670183683225385453811192059277884709990361270136762794689022806384055815
30,0.000000000041721527753673989989013162078868850520803392907024266712484768848175473629614277,-0.0000000000082446487761291214424195604802414062041240970200079075955683265867580074612773287,0.000000000044033784098769536589893494390333020201864298007976204577385464385494512022339219,0.0002604183410947199686015855050408418172686997188215513150642599410535032370954101,0.0000000052151861544783858748087666333428204169767173251840138968118777503032313681318605
40,0.000000000052770437275904319498614309896576185992588918695985966765960101496394077444011164,-0.0000000000020383163297021963210517283487253930317783111034367083765601643645022978112978694,0.000000000060588327750791696860244178508557815426829163999755963360007767293583204280468362,0.00032938514311776898481251473893705407885731051528198395115489322026522320709416192,0.0000000060936783238726103026322962908715158147864046527063413963519588384705724363316077
50,0.000000000066115163253880627436928722668118531067344425534280381467638798440548757235980844,0.000000000000022222635289482934774504262149478080152239107596559436598289056804328498680601628,0.000000000084163801423737780872019430811838669390998023741416108221274840171452084125647816,0.00041268136752140796063169597487204819304289678384075358911510732141941137246028406,0.000000007479573928191598054134313268484799631321384809472469389195976074872784362384109
60,0.000000000082261721441495438179102994339291446318113343987391964529549267599833711893920464,0.00000000000077873020035721293170649075160613239685576929547174082056037315653880251052833922,0.0000000001194616669545282107620554360544829919995699910851118162735100356907424102457464,0.00051346467017178221433785304889455102789036017575547106195028445405296901261913324,0.0000000096998917169188353531551307819078421132639944605480448392494698205649350184054506
70,0.00000000010181832343436974952029046884685270056945987987325411205621699680638527036716639,0.0000000000011543554189889607934967256821003365687014123751899320795589894059252185744481834,0.00000000017443498715828469655334402084871960662954869449271733476316796327058029507054818,0.00063552993092831716573713026664664367354151356983538137909629023377430819769004342,0.000000013316688275463153073035513226941176994803124500064827244133578009204400885900807
80,0.0000000001255169683877717890767890973358250102205408592193484874479446402017246703917906,0.0000000000014754449794863576623861241505315537407830806991679876766348640045986486360411441,0.00000000026265376324474489145893890621829193140392939146212856472996712502889387866847142,0.00078344343137339344960278196728167531928853910937158474012033381365090240999920835,0.000000019325625306774540508298970974675674533608459900292659392699398272799452126004945
90,0.0000000001542396066979803825900901686792346490017191088011761441265647950301230857133142,0.0000000000019015681338452168611187552772354306600549352448335330566719164189214953681756461,0.00000000040755650482335883826585332140575640243555272007762035348438837043883138162616901,0.00096270514800455167817943548339879132890209706840980141784184821524438420436854901,0.000000029496011663532484432798226865034362350333719866834404121268265559819012927685473
100,0.00000000018904985808224280915354408927559829469476530174246002574458438497816772069697539,0.0000000000025810706200128168904744920023529166643545954248395099803479512186101127516196965,0.00000000065009339607834853486898982875748478798654998749614819496262336985090321461094287,0.0011799449486048792605672300881467056590971785124722756044563319659399881054896774,0.000000046966147142258498274409513199223512845299256241142845413489021925111934801497004
"{'distance': [0.1, 0.105, 0.343, 0.71, 0.726, 0.832, 0.991], 'solute_4': [6.64, -1.17, 5.56, -18.18, 4.94, -7.28, 11.36], 'solute_3': [15.05, -11.23, 8.37, -14.32, 6.48, -17.66, 7.51], 'solute_2': [13.13, -12.15, 15.81, -15.26, 7.37, -19.46, 18.56], 'solute_1': [7.9, -7.52, 8.01, -12.0, 6.11, -6.72, 15.71]}","{'solute_4i': '354.0 nM', 'solute_3i': '79.0 nM', 'solute_1e': '161.0 uM', 'solute_2i': '263.0 mM', 'solute_3e': '11.0 nM', 'solute_1i': '130.0 mM', 'solute_2e': '49.0 mM', 'solute_4e': '16.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,51673341241890.227661465041690757292835062399796159715545661377393592342326759044,0.00048727100418469167204310797795203154461566142453783915330457576342596665026517157,51673341241890.22717419403750606562079195442184412817092999995285575318902218328,106046411130805433.01843121616770857868697052542662125801060982791140003055822564,103346682483780.45532293008338151458567012479959231943109132275478718468465351809,1.8981263429689683341642034551976883525204565727611566486274802631561303520993609e-78,1.2825863609445612991109812630354107521548988280024673892770007940665208659053747e-82,2.403501707720483636880574059999139790573799480773735078168139245065388095144059e-78,9.2665919920996299142023965910663467077770560551019181365183536990700588317624187e-79,6.5745206052271088282764484259172121068193077883691815781491200456147408672544495e-85,-0.0072703170817134768343524952426842516761928262368162148028231538262978601743020648,1.1836620366935326909700552575808492532102819947563323741540580974935398138857225e-78,1.0167846889023270349025494843618036535038310561558320593708009203369713387849946e-78,1.5761228016130422810800616894317454823079479153619954963303636305619462084733109e-78
-140,51980795020393.063145359744916993413683871753310357164125368590796066823966207544,0.00045724549967670730916580914114945415705764815977561666429456260617941662906473619,51980795020393.062688114245240286104518062612160903007067720431020450159671644938,113682463921778941.08808611693689116292400655608054345956967989565429721736416684,103961590040786.12629071948983398682736774350662071432825073718159213364793241509,4.0281553029010608391194848447624497647656892540365142902425353808260043606696587e-78,1.7273474012626993133309636189925212533136829997107823201931576398313811022105354e-82,1.8250315399542812703295221482296077163351144435455831279437159920720321401280028e-78,1.7325443432327913011515359667384071862983339659336244126830923671576165883190614e-79,1.6688896462777933941617387462850871587119737697510856873020832318087156075465202e-84,-0.0084808702624730320100801429696508176874671981698152203892762735712119413757992519,1.7188051569498586255661975390080341794972816930974026287317597303939846415741239e-78,1.5830790654756124186373577964375321596845214183973991988905541522708952082268694e-78,3.0826719809233577299117417933689058219699677482679150082693729023298642217145323e-78
-130,52290710194844.38604667374272267680378259709909114072250535137260132246165669476,0.000429070158452022389928105326872832084021775810923126517497076639090530955238083,52290710194844.385617603584270654413854491772218308638483575561678195944159618121,121869836819918133.63815001189956945805330421031727234815449748505157281295364696,104581420389688.77209334748544535360756519419818228144501070274520264492331338952,4.3695984601238236120914514952762177129113485408773461804549197104132850392725611e-78,1.2038850312368352632297474395706912575332847745612474137082211071763511943606213e-82,3.3106743129197564580283069017578800355919412045412051036453777498806706428574615e-78,1.1314413942572159050532107100525547900024716053627000728120959166697315860283294e-78,2.082409466146543406781873817405034705978921461673845258657797999680802082553e-84,-0.010166260140834734833261709177387683249161407700780187211337835247886399130265248,2.3276913533637266538856266519907733470175153541598964101758401863150421857401421e-78,1.9412888462727066711614085473376483484410377787054142047813892991084550135411432e-78,2.698380155035523450520819186643142471112400148433484770052881719980257232964863e-78
-120,52602995423750.482503171213615845241393261238859667551204748862275181360155573114,0.00040263097396084001299221965237227509485978339240901601563993531395738147049328326,52602995423750.4821005402396550052284010415864873924563449654698661653445156378,130648158799791351.13524938749843579092907048091429481153078207292670804031860851,105205990847500.96500634242723169048278652247771933510240949772455036272031114623,3.2961080118309593031972032018449985237330216424212064297001470126148992701487839e-78,1.5564927261153952441222656634535019518829587758758190773704900364829468408115142e-82,1.7434654014146066713042595676696447216141335040531717884732510497914395565454879e-78,1.970798016749801126021813740297109615872579093175152683314849811525060649294978e-78,5.423699619621174496692961578683116333085833800930168427104693115438117585646586e-85,-0.012534229049729250898332295900692252975397044063475606552980676272223855296749115,-1.733080849648924452368024208161854583171063957119972394265112011335216153246869e-78,1.8174049777027641946294156347440572279421372999687665041234171079370045956603403e-78,3.5008650861065662423692592530551019290340239439736548558614927748854249257128102e-78
-110,52917577255146.997370821046018642273189085340439171422018412449902129427733511186,0.00037782096470542957953487644073272688017517038628475780020919999479835611630767405,52917577255146.996993000081313212693654208899706444541843242063617371627524311191,140059928374817711.24719399581381484801445025549929757225520703557813976833758773,105835154510293.99474164209203728454637817068087834284403682489980425885546702237,2.8080824899347459919494199353442334133483732777871792963985198179498441639852936e-78,5.6735736306417931232112763486983271850880483696920358473395187667169837820816562e-83,1.9892262729200966695487511890781382623801970920759726330361771511880914874598568e-78,7.8091331264480100784362062284782665799611538939894719677201029608488578835358494e-79,6.5560599592508567275735317754804862172638994904344273980595180651595587579440685e-85,-0.015906544490833652684853901851160285141635083462420343356021946825662903445331959,-1.2081220356942207734728098631806946403117608890400445793453007952244178443505544e-78,1.1250768323137807185251576507486113512854021260211431278069773984614052164841061e-78,2.0332065140452585989721403884346295518734031254205581876310790096762643971888886e-78
-100,53234397031325.257068695654047341630971382333325975381568120792408262580975473121,0.00035453974135836165379300777723884813269106722972491349255480733176666821517459661,53234397031325.256714155912688979977178374556087127248877053562683349088420665789,150150718865440241.68469033954136766036689729846537964559295150444181456922613325,106468794062650.51413739130809468326194276466665195076313624158481652516195094624,1.8993378206476496347700874575917149145192185548956002171098585842147041810831889e-78,2.2316220492973529470449372393849162522257431537064377781123026507145805529650022e-83,1.0908745224061362627551412557638591035786626875589062572356052746539736448524142e-78,2.4065861242280928798083229201414840266037896218188108641661893405754685639229404e-79,8.5372062408506148527792757651239493998191121734614755734093036909044883191118767e-85,-0.020756632479152746930410927970185094745301087345727785407872587526998224612896262,-7.0100902747672932328765336523929162064428391499802275264794295576601477333239882e-79,8.1126438947284576042806050288626465820673043642286696879612513130761623702144748e-79,1.7819588151778560212200287771746209063800168969819374383979380741106434859554008e-78
-90,53553408331287.627543467428988530578254802650953740122056008687374461081964310319,0.00033269310055479722647181480759307011744235821896524017646726546405471817596579927,53553408331287.627210774328433733351782987843360670004613650468409220905497044855,160969398649933682.50092451872510205861442887010869510130651212449197916847470625,107106816662575.25508693485797706115650960530190748024411201737474892216392862064,1.3084667684093646422778892112464254469804272318254130851816385661111278600350673e-78,9.0477184566786777573175111697989292853572712809155455194376229127692224636095716e-84,1.0641998789775129369013452056009288113433340645689484417451253098121228617880561e-78,3.7003114780739136517463494919957766717061964452113461500772948218129586461303856e-79,3.1114693474413417995667794410795137623414436580936198747350892825827380847845811e-85,-0.027884304119250810827554894782997667080352782715989808094655768752320896651281923,-5.5634414732405373118185503572193712111573949576363208691872127135656741971783055e-79,5.6233716909450870439724589695332339517639068734108771536853358087081071750768755e-79,9.6824744634429421270170434007312923965130020443483940962284640781142927893591676e-79
-80,53874574857527.638777665014829785409240884931319950851887027798351014196727001875,0.00031219264371518381206420438456809006793826110433416527360514119183375907676189697,53874574857527.638465472371114601597176680546751860783948766694016848923121860683,172568367455441721.92163355423347019699451567434530701454254208451181342067113909,107749149715055.27755533002965957081848176986263990170377405559670202839345400375,1.661812582830960670798292637910348126280629607518968315361835188891979792733005e-78,3.9591956615869331796154675115491232731210544513480360729414206307292816369856752e-84,1.1036768841979624607767216902406962044202643732059053568035299096518597962012734e-78,2.7847874754414879004818280142307959585053844864112810725252290891012232403614806e-79,8.1706647886257195452895555617901857025874077898581002658274782229360553907450603e-85,-0.038704312174512214510008216584891657987846587335132386141594614181725465860777716,5.8770846834455494810274627748076845241336708287222566898436986662697192858352104e-79,5.9559842245433542340071424147182516794200566630768338637933737918144608365303507e-79,8.960557917968731814646386987098548615236577050590216409108940668396505713291309e-79
-70,54197868689955.149707320993852583486172598688836967074760566764787776961217764207,0.0002929554193559915700109870403924470961908728969876876835235456942696195145435059,54197868689955.149414365574496591916161611648444519978569693867800089277694218513,185003809825737864.19510642620339711243770065008437342036920210114011922717788003,108395737379910.29941464198770516697234519737767393414952113352957555392243552841,9.4736786963998058963473497510515970903312269390640900144042075119602553317065359e-79,2.8955011440757662664531605975778250448422135144444753402923543464957671697609813e-85,1.1791376333697087674029026131015087656478031288865038410042397333875279939244562e-78,4.2528142768242855996169576456310134637738396508040019219876935223861678508094175e-79,2.5926591682015495153926824256747217004270724694783842966206228814564946465971987e-85,-0.055718726288050947690959760318924341468926864452705735504663991828334041760052501,-4.2691795586335194683893121969354152872113726940685856761496820968561489737597477e-79,4.8240669554012298080644996047797163662138485566007168843892838170030149792249877e-79,8.3395458822581500866423585368380492512835939172269606871784308502991485630887127e-79
-60,54523268843193.103866895183156348581598093849016376243656068132449850160136096768,0.0002749035874411630020906891991255634391144510306714226130746957682842147836533569,54523268843193.103591991595715185579507404649890812804541617101778427547061401,198335966986471563.38699780174607196950703938166544683903519782178271745691021623,109046537686386.20773379036631269716319618769803275248731213626489970032027219354,1.4031440317118227686921247367523651695740937084205252751998049437171594821384918e-78,8.0430587335437951845921127710495140134505930956790981674787620735993532493360593e-85,9.8001878118238857918566803733684219862630006824926991387844967240616165647711713e-79,6.5999100779908964692183486955036851809674222298024842501400895488595002704107087e-79,2.2121800325828200094489494045463840000393922341575992236844511768648179659270313e-85,-0.0834276856152325262720106742911984957619553728126500693006837655699866210220212,3.4868259415457777976980925958768293749981492613259714359021700747535886104509158e-79,3.9725184874752193592418644366913577382246334417080343417829877275781622835246631e-79,6.9785705011018479005098512982385240390481587961947182287518433583134513514686695e-79
-50,54850760074550.030486908561363707843448134200802133106023044743719541554295669502,0.0002579641044161333991400682496345392647652470681294868508296319949060920077371473,54850760074550.030228944456947574444308065951167593841257797675590054703466037508,212629428418722256.34081182758766130025370243948248267489279404228184330658375456,109701520149100.060973817122727415686896268401604266212046089487439083108591339,7.6904578953728055497849894119428406388116155609951405702476809199374253463338115e-79,1.4145896456797969903604183592329802304528091764353038883338486589612846888848455e-85,6.1411340078295583918892145830430209016402003996249484906671009601813931610685799e-79,2.0902378250097456946151754753686079093489930462744558836986214672985905778165744e-79,4.6013272468025965082791630671444186824571072581917384681045637666095418067205895e-85,-0.13002977114215093718454428760588884051126746151489007681303999064578722077017499,-3.0618467824803597027755741235958884031330929856161144839147102510708174309841702e-79,3.0553186686108488899066030760730181026075208826815643454279049710422296420346181e-79,3.3230283213699860282424077588300738735228620190479931555307276654391237588015002e-79
-40,55180331899125.811641666805168171008920330358997992326634820814072708996336985977,0.00024206842764996784427923287770216315651788888932635765360380528622686572737469858,55180331899125.811399598377518203164641097481295829170116931924746351342733180691,227953444547988915.10450802895719841715106677926613758998378308775288221675349302,110360663798251.62328333361033634201784066071799598465326964162814541799267397195,1.6906770736672016648199192519529445999735873629634177483544328426291801405094701e-78,6.4595128180688463394537972284417711341935059269501007234624692286718399588994565e-85,1.0971670254924417180053972643745152329661137859684969910451286191197782460657387e-78,5.9132670760165771557699575871799496460668132607024354419760402493256987160840299e-79,9.6286650204751197390297802615862315915097179618422079048887995585234353285638376e-85,0.21054279682231202435087544484217660876919860186342531547870664765785457759410992,-5.5155575705805425093426125819671434097892264592918033786080284541773573254054101e-79,6.2171195284168207344187967998685135503339306511852540723413344281041601739139899e-79,1.0097321673146670053642775659637906527297646277146695882442986016292316334980432e-78
-30,55512008280731.766972822611058244168575650292169201505920390142237367765052770757,0.00022715223808969204700525493766842095032170704555299191539582981668923961486412368,55512008280731.76674567037296855212157039535450078055559868309668437584965694094,244382396350471394.3962959679041990477247401376400307751241012741871718816127848,111024016561463.53394564522211648833715130058433840301184078028447473553010554151,1.5554546286323035803372783209384245187330277414514425153677589713590125562860055e-79,1.5394340288691497987638352097632249528982226259375555150865917424477492593939871e-85,1.5538713324129586503957034020591614942756949585740753456957453583479193396004906e-79,8.2525643274351439615603681245098117544729541446353473165452488680924692027747649e-80,4.9785962571702409750805471100820977402073447707499320064465995198523303788210267e-86,0.35248104399534090159947872513604822130203684525521408459267094100414146712057536,-7.7496365370233730740591011215584315835771677205476576002593197937815807062901065e-80,2.9258564822350305944249338694816043873828940519962611397895819626047227619013037e-79,5.496488299685932407611644522270116894637596007371194051987861493390814616917666e-79
