"{'distance': [0.048, 0.147, 0.265, 0.456, 0.563], 'solute_4': [7.35, -4.98, 6.46, -6.45, 6.19], 'solute_3': [6.5, -0.25, 5.81, -2.55, 6.72], 'solute_2': [7.09, -4.73, 4.77, -1.81, 7.44], 'solute_1': [7.74, -7.8, 0.71, -5.2, 6.46]}","{'solute_4i': '91.0 uM', 'solute_3i': '14.0 uM', 'solute_1e': '91.0 mM', 'solute_2i': '118.0 uM', 'solute_3e': '47.0 mM', 'solute_1i': '19.0 uM', 'solute_2e': '83.0 mM', 'solute_4e': '76.0 mM'}"
voltage,current,solute_4,solute_3,solute_2,solute_1
10,-17.255642511478894842070236950023371121998661656209072240210111108978748418735538,-17.255642511478894842070236950023371121998661656209072240210111108978748418735538,-17.255642511478894842070236950023371121998661656209072240210111108978748418735538,-10263181.028672818136373533952801636190581551616932436977684734122087970932033435,-10263181.028672818136373533952801636190581551616932436977684734122087970932033436,-10263181.028672818136373533952801636190581551616932436977684734122087970932033437,-3717397.7623562591995602159075298129798509185179270432946957795165219812640865134,-3717397.7623562591995602159075298129798509185179270432946957795165219812640865134,-3717397.7623562591995602159075298129798509185179270432946957795165219812640865134,-9531048.3480825111024948323287677296718765195475803037704472811255486098395474971,-9531048.3480825111024948323287677296718765195475803037704472811255486098395474969,-9531048.348082511102494832328767729671876519547580303770447281125548609839547497,-18589121.437022052710052566569304137604579360624559931847222844735380257812024296,-18589121.437022052710052566569304137604579360624559931847222844735380257812024295,-18589121.437022052710052566569304137604579360624559931847222844735380257812024295
20,-11.884152332926407786584879770293946316927922165888998554690433115367740130927594,-11.884152332926407786584879770293946316927922165888998554690433115367740130927594,-11.884152332926407786584879770293946316927922165888998554690433115367740130927594,-7038011.4179848878757468752076599650850858839552547862158621452009226217190682391,-7038011.4179848878757468752076599650850858839552547862158621452009226217190682392,-7038011.4179848878757468752076599650850858839552547862158621452009226217190682392,-2411898.6260246022737689706776971266457685880972632715346125090080134545326469948,-2411898.6260246022737689706776971266457685880972632715346125090080134545326469948,-2411898.6260246022737689706776971266457685880972632715346125090080134545326469948,-5221450.1569980537959474632150878488377704137518120218147832664416663988230369904,-5221450.1569980537959474632150878488377704137518120218147832664416663988230369904,-5221450.1569980537959474632150878488377704137518120218147832664416663988230369904,-15084571.224476224652507830558987078265195624136053308948273452121325114009711912,-15084571.224476224652507830558987078265195624136053308948273452121325114009711911,-15084571.224476224652507830558987078265195624136053308948273452121325114009711912
30,-7.9741545022934131673920547381067858633695932640114331785512521554383004600870282,-7.9741545022934131673920547381067858633695932640114331785512521554383004600870279,-7.9741545022934131673920547381067858633695932640114331785512521554383004600870277,-4595694.694449292219529193509678504982084620543974847448150782634836271624634509,-4595694.6944492922195291935096785049820846205439748474481507826348362716246345082,-4595694.6944492922195291935096785049820846205439748474481507826348362716246345075,-1432786.274262199298963813314339345565802745936736778949987797864051673644072298,-1432786.274262199298963813314339345565802745936736778949987797864051673644072298,-1432786.274262199298963813314339345565802745936736778949987797864051673644072298,-2567647.0742566579682648523694444498597506215679842955285501819943335191601553376,-2567647.0742566579682648523694444498597506215679842955285501819943335191601553376,-2567647.0742566579682648523694444498597506215679842955285501819943335191601553376,-11993930.601881774967310488429044805734884405778390754113003092762076148391102524,-11993930.601881774967310488429044805734884405778390754113003092762076148391102524,-11993930.601881774967310488429044805734884405778390754113003092762076148391102524
40,-5.1891031708416584796905138022288788896982383104832076848839218960496841218106709,-5.1891031708416584796905138022288788896982383104832076848839218960496841218106712,-5.1891031708416584796905138022288788896982383104832076848839218960496841218106709,-2767414.1749039513878752942993969607973720341755505458769983327121679013566127434,-2767414.1749039513878752942993969607973720341755505458769983327121679013566127435,-2767414.1749039513878752942993969607973720341755505458769983327121679013566127435,-771231.79289794955562294058231127122966637721965126728513446848063140836918920493,-771231.79289794955562294058231127122966637721965126728513446848063140836918920491,-771231.79289794955562294058231127122966637721965126728513446848063140836918920491,-1090577.1701719743423438586899903619154854677754104040209171187224743988824074175,-1090577.1701719743423438586899903619154854677754104040209171187224743988824074175,-1090577.1701719743423438586899903619154854677754104040209171187224743988824074175,-9251868.0734438644102172021572217626099009105931860768515761029673426900971751689,-9251868.0734438644102172021572217626099009105931860768515761029673426900971751699,-9251868.0734438644102172021572217626099009105931860768515761029673426900971751689
50,-3.1815137324669906748558927587812394028225843853373671695980384058429597214192434,-3.181513732466990674855892758781239402822584385337367169598038405842959721419243,-3.1815137324669906748558927587812394028225843853373671695980384058429597214192418,-1360607.4151572980624189413077304475020899417698644098971733353509656820013588977,-1360607.4151572980624189413077304475020899417698644098971733353509656820013588953,-1360607.4151572980624189413077304475020899417698644098971733353509656820013588928,-371078.78779363928312863004073849563825627943652788595695519679702354600210582989,-371078.7877936392831286300407384956382562794365278859569551967970235460021058299,-371078.78779363928312863004073849563825627943652788595695519679702354600210582991,-312626.59853191713653941679133540582938076640318391299333022520730130755799484288,-312626.59853191713653941679133540582938076640318391299333022520730130755799484286,-312626.59853191713653941679133540582938076640318391299333022520730130755799484288,-6863348.9390584610407105083159674242675677956198014523817375162586374958100254311,-6863348.9390584610407105083159674242675677956198014523817375162586374958100254337,-6863348.9390584610407105083159674242675677956198014523817375162586374958100254335
60,-1.5486154907086986401355135323724848308772459171883019505091979756282340630763559,-1.5486154907086986401355135323724848308772459171883019505091979756282340630763551,-1.5486154907086986401355135323724848308772459171883019505091979756282340630763547,-9747.1114515399693239659091236585052927151308763183879763190408443971574782371305,-9747.1114515399693239659091236585052927151308763183879763190408443971574782352932,-9747.1114515399693239659091236585052927151308763183879763190408443971574782334516,-136881.42506462695253581282476270110928265056683132991395931871444132099301718727,-136881.42506462695253581282476270110928265056683132991395931871444132099301718729,-136881.42506462695253581282476270110928265056683132991395931871444132099301718729,154386.54756162222645523824511018435406464344274477249037516568242099711214567968,154386.54756162222645523824511018435406464344274477249037516568242099711214567975,154386.54756162222645523824511018435406464344274477249037516568242099711214567973,-4845018.6979311627278254877895672896441532411709157150986107657621594557570296872,-4845018.6979311627278254877895672896441532411709157150986107657621594557570296876,-4845018.697931162727825487789567289644153241170915715098610765762159455757029689
70,0.31114227801063276179884094162775122858364012690845851600487023113259463837400707,0.31114227801063276179884094162775122858364012690845851600487023113259463837400687,0.31114227801063276179884094162775122858364012690845851600487023113259463837400761,2087051.0764476217846747306160803714847271394541653053398476563143887749849350211,2087051.0764476217846747306160803714847271394541653053398476563143887749849350219,2087051.0764476217846747306160803714847271394541653053398476563143887749849350228,39847.55616649086025336756960556572585184705793601818701874629942476657579878554,39847.556166490860253367569605565725851847057936018187018746299424766575798785544,39847.556166490860253367569605565725851847057936018187018746299424766575798785544,636496.44224853246982879656892575850552237996358677971683534179090220948560378223,636496.44224853246982879656892575850552237996358677971683534179090220948560378221,636496.44224853246982879656892575850552237996358677971683534179090220948560378223,-3173986.8756815060479865436402450938492918684323194562937771671395544248651346409,-3173986.8756815060479865436402450938492918684323194562937771671395544248651346428,-3173986.8756815060479865436402450938492918684323194562937771671395544248651346418
80,3.4917556191920035682679377153559994507715544110170690679558177865159136769761412,3.491755619192003568267937715355999450771554411017069067955817786515913676976141,3.4917556191920035682679377153559994507715544110170690679558177865159136769761408,6629715.7648155237211175987175973057877065069622775043851629645439694690128555063,6629715.764815523721117598717597305787706506962277504385162964543969469012855506,6629715.7648155237211175987175973057877065069622775043851629645439694690128555054,285089.35281885045958262493374665419793451120715447976419504183851228574688981207,285089.35281885045958262493374665419793451120715447976419504183851228574688981205,285089.35281885045958262493374665419793451120715447976419504183851228574688981205,1536577.4528184921061818829546299353588772022348477554992390093719876908531875902,1536577.4528184921061818829546299353588772022348477554992390093719876908531875902,1536577.4528184921061818829546299353588772022348477554992390093719876908531875901,-1778960.1877891511124943170996390984856814782507915658309274506939834018531998006,-1778960.1877891511124943170996390984856814782507915658309274506939834018531998006,-1778960.1877891511124943170996390984856814782507915658309274506939834018531998003
90,9.9526389748479957174428326854270303625572862214834639623723996275178209843123669,9.9526389748479957174428326854270303625572862214834639623723996275178209843123668,9.9526389748479957174428326854270303625572862214834639623723996275178209843123666,16767104.873366228911776480328328994427138405126494422322903208357343186077288369,16767104.873366228911776480328328994427138405126494422322903208357343186077288369,16767104.873366228911776480328328994427138405126494422322903208357343186077288368,782387.32209229808043840214889059394526577758411693538266590679449482312555896666,782387.32209229808043840214889059394526577758411693538266590679449482312555896665,782387.32209229808043840214889059394526577758411693538266590679449482312555896666,3537250.4459308868071483231241837639918830312431493120601107868535664099472433275,3537250.4459308868071483231241837639918830312431493120601107868535664099472433274,3537250.4459308868071483231241837639918830312431493120601107868535664099472433273,-566946.1254798895433639045797551999953886825660908465186615484825099717740138153,-566946.12547988954336390457975519999538868256609084651866154848250997177401381481,-566946.12547988954336390457975519999538868256609084651866154848250997177401381496
100,22.51161620299236181582775172113409904593738464157646985393965431722551323551295,22.511616202992361815827751721134099045937384641576469853939654317225513235512951,22.51161620299236181582775172113409904593738464157646985393965431722551323551295,36967766.001399618446390581283657769284123798590746288801654181270469912394253188,36967766.001399618446390581283657769284123798590746288801654181270469912394253189,36967766.001399618446390581283657769284123798590746288801654181270469912394253189,1803558.0431267184373482730987897998458480815865059505059481988613702599256505758,1803558.0431267184373482730987897998458480815865059505059481988613702599256505758,1803558.0431267184373482730987897998458480815865059505059481988613702599256505758,7715405.229485856210871440931143909160752736765870951537474770030068715463717527,7715405.2294858562108714409311439091607527367658709515374747700300687154637175272,7715405.2294858562108714409311439091607527367658709515374747700300687154637175271,530880.5053124273463933365062208350199508031234607400040884461060736056146296289,530880.50531242734639333650622083501995080312346074000408844610607360561462962918,530880.5053124273463933365062208350199508031234607400040884461060736056146296289
"{'distance': [0.048, 0.147, 0.265, 0.456, 0.563], 'solute_4': [7.35, -4.98, 6.46, -6.45, 6.19], 'solute_3': [6.5, -0.25, 5.81, -2.55, 6.72], 'solute_2': [7.09, -4.73, 4.77, -1.81, 7.44], 'solute_1': [7.74, -7.8, 0.71, -5.2, 6.46]}","{'solute_4i': '91.0 uM', 'solute_3i': '14.0 uM', 'solute_1e': '91.0 mM', 'solute_2i': '118.0 uM', 'solute_3e': '47.0 mM', 'solute_1i': '19.0 uM', 'solute_2e': '83.0 mM', 'solute_4e': '76.0 mM'}"
voltage,current,solute_4,solute_3,solute_2,solute_1
-150,-444.98184482613320146574127901320317295809590565930040268628015214530097197691925,-257438127.59978381386404551749701623900156722348264025597794826321251392076773228,-198326678.98560525351093608308323733840519950508724087110846658264115631572463987,-363562699.16247435203127083845959641201642423375264743800912758259082192463893963,-159840966.17887029619450638223779825606485612444576757906420740729389970547726386
-140,-391.52577507024461044946782209989461634964107173591690693277848547726396281481998,-228535853.22202210044045720666801662496248746345904926421254860935230138401102455,-166566199.62259302152319115257839305645366273212563865471468157331173198929089427,-322534153.02056986056659823933166524251477532965060237102142732183055492178765309,-145536250.09811706815596823774284872765931823243921935539956910873747996354242606
-130,-343.17478034462472907770107351481797513935436720731428929834281466848693729376942,-202044268.05510378982683241405182607418351855210707890903610242983880384766208047,-138949816.63909828628266898190694518813856606211228708381283729073176030357472137,-284932877.72147150206408059696589659913392710406013632039003215876030430978246232,-132191892.03387018783745213855030971426585799205394906781377836258806730618234484
-120,-299.46386352803936912171031117823752057736966478686048612436003088639589479177743,-177768528.67819003775627120492003402899146067787848861732505579357053596093728061,-115010916.66868509809446651784403295122878129476827834780577768302018414624779535,-250488713.70151973849049755395086065508541313843660900814587580184357445549269569,-119754014.63601995401934690626473885937565330156293157977910583495639772170889553
-110,-259.97591789773889055124024351049536095772852459574895921116705397453895131740333,-155523093.22188116059502357248444417211457185190394628064695909476849417127433544,-94363367.57805750436096141788463148632736064424177661532310450047039567228051468,-218944196.50308988660642661384750471503048321640201727062122091174161864251164641,-108164494.37547868102211311809970465745485498183379288992547519366507963455515413
-100,-224.3352217773674847557901913374384451224396648751684130754533712838027838735963,-135135002.15763812269424372492521879737523324367936755345895359889594068913828724,-76681428.806682087753944722091281873456416603845339151786309919073491087534510831,-190057584.09555442880679544333171998624176650776501132256352791595963553761330862,-97361330.023694550031394505546246248142594676288884582160383898184506777224003024
-90,-192.20128876365169298597215647505120047748853962575171597950098209548651514392811,-116448638.23850709279018399377044570798508605562206477722038864414574458497190316,-61677452.659176134704762218722017836177846495501772990547538294307857477604961694,-163606903.59848960458298758992719740519474009332135278602176638849670113003949918,-87279686.66913555105314047165997174441059755623560135943942894693957787048309243
-80,-163.26618803083906174548496756723813111796458323539222018127838160870898817584601,-99332147.225670263735655280321001791484720753233954211720202275246115297507357419,-49083266.384443936036756511395322593935214354571368213495761783244221044952155419,-139395113.56429411948840845075652155724343409903434985436421144939673411326973693,-77854084.49069420768352611610268250174689021166282831771338544192349976286364694
-70,-137.25717515226239977967199645875873785380912580199179978310497944362648694624305,-83685281.466964482837330532726879514457710896705668112959498028812220715274920116,-38638852.738548630297217575733719311924178231123752358010511542874029133602285144,-117256398.55967125392210460888758829632906692391809817217765154783169929704935154,-69022381.726950042345422657910487979278669201016814686020586732424758765319082311
-60,-113.94449555707190253376650300959002121394915651564948369432425321025812193703497,-69447518.765407828954506364385114762092518765552020262175905554305459302510242093,-30088841.381668589308410937125943852402514136239866982169607071967443299341024356,-97063468.63030461518047377080837683806895773412523863618182077471566291144267898,-60732265.439021780323302883776979092943110329905706212185336795181730293905383188
-50,-93.151785751550570225490642586536513624853118697750701960913587369781845003519099,-56603709.01032587385236709568517356893501211530037223363653308539313219455902892,-23184483.542701904333087895787328925954185506050462120349151510242689418901512931,-78735381.593106209391500475189058057927753565831940744228009259974091921374930306,-52950549.366162847402439945278727836978858116787584525011010176421600296992571508
-40,-74.763772882013468914207940326134383705472295318341362949384707324192388965192119,-45182342.800385321010975600908476551326571426613261346457944268341485240330644703,-17687160.359511265019739953645611832660921481669140847798383629998507541300181017,-62244551.463153919538407438274104093042689148032429227571225672437624768694339414,-45674026.935628578041354118430753251945610790549948128794006770619780251566066868
-30,-58.723453116848857038180308232013490949852696901163433173729098761480706730809614,-35239978.194438069309493244177932505707229223057110888877383387959535017143477638,-13369615.940536325191145084285236920904935650491345822188899266155024404257698052,-47619987.369140452261184847206705423313933480434418673804539562599790796317378145,-38937316.622881592088360387912052204832606818250560290846869035962120124834388796
-20,-45.010599690794982537115191598040398320441666727383817486121021471090610892092499,-26827287.569600666421877910230208429459210759567238742391557966831468636698736317,-10013579.967909809019594490504760266556855636940062177699982168085534770312617899,-34941624.615270807100347249533020007297353178044667690099459222443337946428325445,-32808782.653459108995790238433517160928495703962250826002196661160951386153572963
-10,-33.59926550331371620278801289743139119330712711869004213337692020402964251829742,-19941316.927598007228336933981561349739195113289792550390869435133452499643969253,-7407986.7210291199350418586355253255104429802407729456421845762038498349348196591,-24318778.01941037340209965917769276934845541425923635486629233241775938728899986,-27364498.919022764548868623219529716359183955083477908404716019916070397631675951
0,-24.406096616852837840274058968791031250931024345123942134646451264027244327018297,-14484633.087996788947129488025670933499456871376257022354552016439967805842497092,-5358669.0833090799679262100446142220142116874785812232514112404460442541696913006,-15845571.866381382041376420094227559392521995365355596261334740709688755535768888,-22640523.577841277526222232050845455840539275086721137061802957004117297111846011
10,-17.255642511478894842070236950023371121998661656209072240210111108978748418735538,-10263181.028672818136373533952801636190581551616932436977684734122087970932033436,-3717397.7623562591995602159075298129798509185179270432946957795165219812640865134,-9531048.3480825111024948323287677296718765195475803037704472811255486098395474969,-18589121.437022052710052566569304137604579360624559931847222844735380257812024295
20,-11.884152332926407786584879770293946316927922165888998554690433115367740130927594,-7038011.4179848878757468752076599650850858839552547862158621452009226217190682392,-2411898.6260246022737689706776971266457685880972632715346125090080134545326469948,-5221450.1569980537959474632150878488377704137518120218147832664416663988230369904,-15084571.224476224652507830558987078265195624136053308948273452121325114009711911
30,-7.9741545022934131673920547381067858633695932640114331785512521554383004600870279,-4595694.6944492922195291935096785049820846205439748474481507826348362716246345082,-1432786.274262199298963813314339345565802745936736778949987797864051673644072298,-2567647.0742566579682648523694444498597506215679842955285501819943335191601553376,-11993930.601881774967310488429044805734884405778390754113003092762076148391102524
40,-5.1891031708416584796905138022288788896982383104832076848839218960496841218106712,-2767414.1749039513878752942993969607973720341755505458769983327121679013566127435,-771231.79289794955562294058231127122966637721965126728513446848063140836918920491,-1090577.1701719743423438586899903619154854677754104040209171187224743988824074175,-9251868.0734438644102172021572217626099009105931860768515761029673426900971751699
50,-3.181513732466990674855892758781239402822584385337367169598038405842959721419243,-1360607.4151572980624189413077304475020899417698644098971733353509656820013588953,-371078.7877936392831286300407384956382562794365278859569551967970235460021058299,-312626.59853191713653941679133540582938076640318391299333022520730130755799484286,-6863348.9390584610407105083159674242675677956198014523817375162586374958100254337
60,-1.5486154907086986401355135323724848308772459171883019505091979756282340630763551,-9747.1114515399693239659091236585052927151308763183879763190408443971574782352932,-136881.42506462695253581282476270110928265056683132991395931871444132099301718729,154386.54756162222645523824511018435406464344274477249037516568242099711214567975,-4845018.6979311627278254877895672896441532411709157150986107657621594557570296876
70,0.31114227801063276179884094162775122858364012690845851600487023113259463837400687,2087051.0764476217846747306160803714847271394541653053398476563143887749849350219,39847.556166490860253367569605565725851847057936018187018746299424766575798785544,636496.44224853246982879656892575850552237996358677971683534179090220948560378221,-3173986.8756815060479865436402450938492918684323194562937771671395544248651346428
80,3.491755619192003568267937715355999450771554411017069067955817786515913676976141,6629715.764815523721117598717597305787706506962277504385162964543969469012855506,285089.35281885045958262493374665419793451120715447976419504183851228574688981205,1536577.4528184921061818829546299353588772022348477554992390093719876908531875902,-1778960.1877891511124943170996390984856814782507915658309274506939834018531998006
90,9.9526389748479957174428326854270303625572862214834639623723996275178209843123668,16767104.873366228911776480328328994427138405126494422322903208357343186077288369,782387.32209229808043840214889059394526577758411693538266590679449482312555896665,3537250.4459308868071483231241837639918830312431493120601107868535664099472433274,-566946.12547988954336390457975519999538868256609084651866154848250997177401381481
100,22.511616202992361815827751721134099045937384641576469853939654317225513235512951,36967766.001399618446390581283657769284123798590746288801654181270469912394253189,1803558.0431267184373482730987897998458480815865059505059481988613702599256505758,7715405.2294858562108714409311439091607527367658709515374747700300687154637175272,530880.50531242734639333650622083501995080312346074000408844610607360561462962918
"{'distance': [0.048, 0.147, 0.265, 0.456, 0.563], 'solute_4': [7.35, -4.98, 6.46, -6.45, 6.19], 'solute_3': [6.5, -0.25, 5.81, -2.55, 6.72], 'solute_2': [7.09, -4.73, 4.77, -1.81, 7.44], 'solute_1': [7.74, -7.8, 0.71, -5.2, 6.46]}","{'solute_4i': '91.0 uM', 'solute_3i': '14.0 uM', 'solute_1e': '91.0 mM', 'solute_2i': '118.0 uM', 'solute_3e': '47.0 mM', 'solute_1i': '19.0 uM', 'solute_2e': '83.0 mM', 'solute_4e': '76.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,62800409290076.245861299365234659706458073028701064016260404235604598598197018861,39.521967586921834751107381792920187396576945143668132280121101113718144033332999,62800409290036.723893712443399908599076280108513667439315260567472318477095905143,1589000070706.4354601237055483383402201259745685894935672720677647987806147119628,125600818580152.49172259873046931941291614605740212803252080847120919719639403772,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-72,0.0,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,0.0,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1387004198.4857855367352733851162789485612594181343912052947645599712611184291746,2.2255520672236245390924411854416138224560152598354203218943290726409641379011826e-72,1.2380053095558797109643329933252798284121428086329053697128208739076329261787214e-72,2.2701230909291972470339559097851860797987587747486737949337103920056416626980365e-72
-140,58796445443625.845039868942653132474543133380835786155367603299105113614949507592,66.770185680218019005386953615277104599509487286586316745425045248678074100536508,58796445443559.074854188724634127087589518103731186645880316712788368189904258914,880579331098.75188847817629513528761891168429767394305152824025879000861964605571,117592890887251.69007973788530626494908626676167157231073520659821022722989901518,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,0.0,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1268788948.9902626107273739122721636938716850528695447321533216524590139640674098,-3.7455254324804033687182667864277210798512512237446887171377932548728477018978786e-73,2.3653374852253624559528134857217022097881857584285815683663126683077003851704964e-73,7.1978144852024468339528834806964761212468532783121740361951938636327874080180639e-73
-130,55724455942112.660211059494392447358805063962573021726070001197225193275379990074,112.80454815326734599737713918357580186667081000015855871038229546766627254573555,55724455941999.855662906227046449981665880386771155055260001038666482893084522408,493991216261.95370729709833246219358469352437780703534374852637171128915868716274,111448911884225.32042211898878489471761012792514604345214000239445038655075998015,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-72,0.0,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1153622530.8593163545324379543007320802292832565301155045546052798717610391669592,-1.6845038991831236364272736677247858464579592918305067776059338292735117755832797e-72,9.6663424511878706161732097278120494833150650059592469971854071584247145149440168e-73,2.3462680599877032647384927851688503295470924884689344451085099223484075558822821e-72
-120,53528841655939.325437715126011524012555955599191794731458951588653241346893097067,190.57706601275473158075003969582919552242246089808782068006869061335533492385921,53528841655748.748371702371279943262516259769996272308998053500832561278202483712,280877666845.5836453588406692478307508761479137809110379030477805485060610253149,107057683311878.65087543025202304802511191119838358946291790317730648269378619413,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1040954130.2864012205188745751810020879483341861300914683128954884821901639009143,-1.6684904515243420084267333725342299720282701459358858170662363621023278390794637e-72,9.9161478950023606773508941568866329157675687540966021942296966186210405823021805e-73,2.4770691509827345554135634861794908640241791967612271628614692483268850081246428e-72
-110,52167855768771.681926655888866298664916181792436005065785589615800328015492593734,321.96944790455143592388733840215035651068827717889659673093352339632871182642519,52167855768449.712478751337430374777577779642079494377508410719203597081969197406,162027347962.02451988765029819660073021503153490848847835692827844522464660083112,104335711537543.36385331177773259732983236358487201013157117923160065603098518747,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,4.2448495682000214222698996676036523971949364991277210263668507296572662430903961e-73,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,4.2448495682000214222698996676036523971949364991277210263668507296572662430903961e-73,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,930351294.94037278488930079960095888142543883904098829721330901022388876173534954,8.1742471065186721459991548407634748913629358404072948276626771566160610645239068e-73,4.8667560024039025189158990531668763482706463597561943059179799444539103703045432e-73,1.3462435638946313219318773927845175031187826650431375878334356193161529335374069e-72
-100,51612836869892.960743645623502831441367514416394876293156099125013760377523211294,543.94963440681645005935352652600113536323948433105613937013357283705537157913542,51612836869349.011109238807052772087840988415259513053671768068874390243950374238,94885323208.604365736528480560399088713328304591440773037013409837066966445393982,103225673739785.92148729124700566288273502883278975258631219825002752075504642259,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,0.0,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,821824661.41710334700227788431587393836060946884181172383863787679376430288738542,6.9343513605172380090602373328788232825197107923276883010814013605817817694383268e-73,4.5658379214767496357301127160332032576289129313305377746584036622768242336380742e-73,1.3053339887733547479966189383950286843595625080896448492667628156485869393684493e-72
-90,51847648274978.481706387109900931969286804516330140610137443477876628961171965802,918.9729233533484840286260161698293161165183362007309145977177876819538117558462,51847648274059.508783033761416903343270634687014024091801242746962031243384283848,56419125044.278229949295154247259577770875058753039548664306957292923635201033347,103695296549956.9634127742198018639385736090326602812202748869557532579223439316,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-73,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,4.2448495682000214222698996676036523971949364991277210263668507296572662430903961e-73,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,716178474.04523057819072974966877939848021164623567826437689591214204602810488876,-7.5006792441019221524467491638107999909225860939991994748542084321162611239232972e-73,5.5534433274028564313215933480029830618650164690421716895565312769836474410768993e-73,1.3171000366125315908616142943863360906314769295715386881484433650824941377715345e-72
-80,52868313082510.737609448640232481481289099661647722352104327667660896524640815341,1552.5540977291929954168748757522172987448423480740107938525926486524448658849137,52868313080958.183511719447237064606413347444348977509756253656867043931992162896,34052477243.683386915671631038620970711110555675337674105086579838750001630082431,105736626165021.47521889728046496296257819932329544470420865533532179304928163068,1.2734548704600064266809699002810957191584809497383163079100552188971798729271188e-72,2.1224247841000107111349498338018261985974682495638605131834253648286331215451981e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,615229810.51041664958502626195444215773226899806014688756805910592753670289070585,1.2797039892967687503610426710881149213795925357922440319102855040092950131378029e-72,7.198102094346307436500085408943534363671682678333474455597476634663125080435005e-73,1.3203789060338732194036688123371086155213646141464244828904125259432973063232478e-72
-70,54682837548532.592222314429864474719108423877044794471149296456477526005953622585,2622.9545671269919828070728202289352753627146124123936934957673095218629114217771,54682837545909.637655187437881667646288194941769431756536884062784030238644100722,20847802029.765423880247179786974441029060917536303940416977272907083144258487093,109365675097065.18444462885972894943821684775408958894229859291295505201190724517,4.2448495682000214222698996676036523971949364991277210263668507296572662430903961e-73,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-74,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,9.9046489924667166519630992244085222601215184979646823948559850358669545672109243e-73,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,521687787.47264641139721562260643618391125829692508544286844183857223194847040005,-3.7585225314410358103103608729140095533826773095018914304221392136264753853780568e-73,3.5939458928107743615204271236232894386688465432502195376094591432178333637515527e-73,1.0566004943487004356086111812971697783446386704263245521831158240560666083062971e-72
-60,57311218295786.069162675205326228833716711247867359594100027944516909150667864807,4431.3371568018534118642614912692207429505192866242777827290417849566984013319819,57311218291354.732005873351914364572225442027124409074813403666734180108882908108,12933165829.599891996122411493887320042916008041301793968147163955750926286680731,114622436591572.13832535041065245766743342249573471918820005588903381830133572961,8.4896991364000428445397993352073047943898729982554420527337014593145324861807923e-73,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,4.2448495682000214222698996676036523971949364991277210263668507296572662430903961e-73,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,438607679.90701879408808203643810304942180252686649372217987000449740188605741107,-7.4961482209331127883290320278801746399427842062254455114688353081052035194268482e-73,6.0874274190732354085039117952270569857111442547179570952155282237476246440815555e-73,1.7004595096501638520148707910875207238279597670077866985683456852312114516227632e-72
