"{'distance': [0.202, 0.612, 0.698, 0.918, 0.975], 'solute_5': [13.69, -15.03, 15.68, -12.44, 10.09], 'solute_4': [11.65, -5.83, 1.97, -15.75, 6.55], 'solute_3': [9.58, -5.19, 11.97, -0.88, 12.03], 'solute_2': [7.3, -13.73, 11.61, -11.15, 15.8], 'solute_1': [7.05, -5.63, 1.37, -5.18, 13.2]}","{'solute_5e': '141.0 uM', 'solute_5i': '111.0 uM', 'solute_4i': '90.0 mM', 'solute_3i': '12.0 uM', 'solute_1e': '72.0 mM', 'solute_2i': '137.0 uM', 'solute_3e': '19.0 mM', 'solute_1i': '22.0 mM', 'solute_2e': '88.0 mM', 'solute_4e': '86.0 mM'}"
voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1
30,0.000001234236399767938596531596687233482734359699932508255546090689881379044727269056,0.0000012342363997679385965315966872334827343596999325082555460906898813790447272689933,0.0000012342363997679385965315966872334827343596999325082555460906898813790447272689582,0.00000011219477939519335236702223671802928971574194801067064307548028282865245065440281,0.00000011219477939519335236702223671802928971574194801067064307548028282865233963172211,0.00000011219477939519335236702223671802928971574194801067064307548028282865222858497979,7.6984766590405922031078002546521786848297868145689840760807853454698198973108254,7.6984766590405922031078002546521786848297868145689840760807853454698198973108267,7.6984766590405922031078002546521786848297868145689840760807853454698198973109409,-0.000019853279521045964180950252005033707671273934035533363173146277408720612218816673,-0.000019853279521045964180950252005033707671273934035533363173146277408720612218710907,-0.000019853279521045964180950252005033707671273934035533363173146277408720612218710864,-0.00078074799219246884220568980672676417518996475950676865827548467937704377817102995,-0.00078074799219246884220568980672676417518996475950676865827548467937704377814937854,-0.00078074799219246884220568980672676417518996475950676865827548467937704377814937213,0.0067103769245434384556463222590200460786517155558011128515421395218214600762888345,0.0067103769245434384556463222590200460786517155558011128515421395218214600762074318,0.0067103769245434384556463222590200460786517155558011128515421395218214600762074192
40,0.0000020381998963055385382227582983997650894620167523787035212742637812437697765789299,0.0000020381998963055385382227582983997650894620167523787035212742637812437697765788556,0.0000020381998963055385382227582983997650894620167523787035212742637812437697765788314,0.00000020435102961678933112624109287756747630317974863401926053831681802112471129522818,0.00000020435102961678933112624109287756747630317974863401926053831681802112463581748253,0.00000020435102961678933112624109287756747630317974863401926053831681802112456036851022,12.578326803126319085587871503447900381228572226341553106915163157583369823387824,12.578326803126319085587871503447900381228572226341553106915163157583369823387825,12.578326803126319085587871503447900381228572226341553106915163157583369823387899,-0.0000096358658168180186596318103994347099494813867513799095289774076643228294197222217,-0.0000096358658168180186596318103994347099494813867513799095289774076643228294217676047,-0.0000096358658168180186596318103994347099494813867513799095289774076643228294217675893,-0.00072734409375092531459931259112693766397195018105145353101776013984204202789612554,-0.00072734409375092531459931259112693766397195018105145353101776013984204202793167657,-0.00072734409375092531459931259112693766397195018105145353101776013984204202793167448,0.14527463017807709654874143786184185777144402086533790916210632325185256264639691,0.14527463017807709654874143786184185777144402086533790916210632325185256264620077,0.14527463017807709654874143786184185777144402086533790916210632325185256264620072
50,0.0000031771872576425710194676440178158005381974740648356299766251645643287585373866848,0.0000031771872576425710194676440178158005381974740648356299766251645643287585373868927,0.0000031771872576425710194676440178158005381974740648356299766251645643287585373870185,0.00000036583191714206917017661941832147011666890811438882169857321924032392980875627372,0.0000003658319171420691701766194183214701166689081143888216985732192403239301934536248,0.00000036583191714206917017661941832147011666890811438882169857321924032393057813286382,19.553978581561993520825975271426586616366476904544226954363739401705369466602043,19.553978581561993520825975271426586616366476904544226954363739401705369466602041,19.553978581561993520825975271426586616366476904544226954363739401705369466601671,-0.0000038757466923540087120204131955983301927891127711834763874143998425069981482439702,-0.0000038757466923540087120204131955983301927891127711834763874143998425069981467858413,-0.0000038757466923540087120204131955983301927891127711834763874143998425069981467858195,-0.00067642223727187210614741390842981023996118972421099007389984727783259764859720351,-0.00067642223727187210614741390842981023996118972421099007389984727783259764844736309,-0.00067642223727187210614741390842981023996118972421099007389984727783259764844736718,0.27933794371904955539062098735682553471037277341077423370301800412207238795586068,0.27933794371904955539062098735682553471037277341077423370301800412207238795585241,0.27933794371904955539062098735682553471037277341077423370301800412207238795585242
60,0.0000047983918077551674914263815898069083516483231237783463329374033920568810572609095,0.0000047983918077551674914263815898069083516483231237783463329374033920568810572609735,0.000004798391807755167491426381589806908351648323123778346332937403392056881057260999,0.00000065173665645409940205115044811597649041437768982522483663202870177765766880765837,0.00000065173665645409940205115044811597649041437768982522483663202870177765774681410584,0.00000065173665645409940205115044811597649041437768982522483663202870177765782480978576,29.542144660946623617425781512107603353297796219778491153396213868468955691096478,29.542144660946623617425781512107603353297796219778491153396213868468955691096478,29.542144660946623617425781512107603353297796219778491153396213868468955691096403,-0.00000019897952286810007900833183133262000986416380974066919109681752732432159257408236,-0.00000019897952286810007900833183133262000986416380974066919109681752732432159206000546,-0.00000019897952286810007900833183133262000986416380974066919109681752732432159206005137,-0.00062745426042107059708846739343999373839757221592329641472117115811123854995968316,-0.00062745426042107059708846739343999373839757221592329641472117115811123854981778428,-0.00062745426042107059708846739343999373839757221592329641472117115811123854981778555,0.41098959830811288701741006612555809961906497291077573666993152494779964562343901,0.41098959830811288701741006612555809961906497291077573666993152494779964562346154,0.41098959830811288701741006612555809961906497291077573666993152494779964562346151
70,0.0000071127886983154147140871099588485562255106145501613467924741454674133981627409547,0.0000071127886983154147140871099588485562255106145501613467924741454674133981627409226,0.0000071127886983154147140871099588485562255106145501613467924741454674133981627409029,0.0000011597758470553359048395363681801254569991395165939463898686502506010276338244869,0.0000011597758470553359048395363681801254569991395165939463898686502506010275731345145,0.0000011597758470553359048395363681801254569991395165939463898686502506010275124761455,43.857896075121076757763104042208929037213883074266136766018346036600803540491251,43.857896075121076757763104042208929037213883074266136766018346036600803540491256,43.857896075121076757763104042208929037213883074266136766018346036600803540491315,0.0000028219991042466011655786561192872443958033651399805088734188934872563910646686284,0.0000028219991042466011655786561192872443958033651399805088734188934872563910658139484,0.0000028219991042466011655786561192872443958033651399805088734188934872563910658139229,-0.00057981116397024793398007562119259998944191920834438942342781034808155952230316986,-0.00057981116397024793398007562119259998944191920834438942342781034808155952233303975,-0.00057981116397024793398007562119259998944191920834438942342781034808155952233303493,0.5421018675932897314377138352595485828386505781183505007009036179647572230045833,0.5421018675932897314377138352595485828386505781183505007009036179647572230045858,0.54210186759328973143771383525954858283865057811835050070090361796475722300458577
80,0.000010422672871857767163116385550710434323783011511335923634690367532166339320769408,0.000010422672871857767163116385550710434323783011511335923634690367532166339320769449,0.000010422672871857767163116385550710434323783011511335923634690367532166339320769499,0.0000020641517541490108937884644534593977850088732009120890121191930425109160953403933,0.0000020641517541490108937884644534593977850088732009120890121191930425109162414045522,0.0000020641517541490108937884644534593977850088732009120890121191930425109163874366297,64.386617087676714785245457099023318743849964699032939622206555160169316459064328,64.386617087676714785245457099023318743849964699032939622206555160169316459064322,64.386617087676714785245457099023318743849964699032939622206555160169316459064198,0.0000061971001979801824651590678481377581770544407264552556324945977315258615098932518,0.0000061971001979801824651590678481377581770544407264552556324945977315258615101507218,0.000006197100197980182465159067848137758177054440726455255632494597731525861510150918,-0.00053272244558010324576749742707903044355057616056223166852409410322266816075028131,-0.00053272244558010324576749742707903044355057616056223166852409410322266816086373903,-0.00053272244558010324576749742707903044355057616056223166852409410322266816086373958,0.6742708251563777810449498407754524265117527328684764387270211889560860213284988,0.67427082515637778104494984077545242651175273286847643872702118895608602132843686,0.67427082515637778104494984077545242651175273286847643872702118895608602132843685
90,0.000015161002433446979913054902289173085890767789295284516733078999752007785300794128,0.000015161002433446979913054902289173085890767789295284516733078999752007785300794108,0.000015161002433446979913054902289173085890767789295284516733078999752007785300794114,0.0000036765595820208268114658513714913766019437425501465664814431339034472952012382653,0.0000036765595820208268114658513714913766019437425501465664814431339034472952010775484,0.0000036765595820208268114658513714913766019437425501465664814431339034472952008957756,93.829591808099952381823784972488425008861402025962835128775621135984087654138854,93.829591808099952381823784972488425008861402025962835128775621135984087654138858,93.829591808099952381823784972488425008861402025962835128775621135984087654138897,0.000010855986037029122064969292878910523904811115049162348319155936822297155461169218,0.000010855986037029122064969292878910523904811115049162348319155936822297155461197003,0.000010855986037029122064969292878910523904811115049162348319155936822297155461197254,-0.0004852234346800416314225369240358696610803239539841925393684842767043800030127916,-0.00048522343468004163142253692403586966108032395398419253936848427670438000328673145,-0.00048522343468004163142253692403586966108032395398419253936848427670438000328672287,0.80881756705480358911195137134870923195550923096945453806397894849283679028691495,0.80881756705480358911195137134870923195550923096945453806397894849283679028705699,0.808817567054803589111951371348709231955509230969454538063978948492836790287057
100,0.000021947544685161443265715126166815937512021135574918193195998842150272716932090493,0.000021947544685161443265715126166815937512021135574918193195998842150272716932090676,0.000021947544685161443265715126166815937512021135574918193195998842150272716932090813,0.0000065569222207055257038372825563905987262752946532376238579244884697972758640328102,0.0000065569222207055257038372825563905987262752946532376238579244884697972762882997563,0.0000065569222207055257038372825563905987262752946532376238579244884697972767124685053,136.05440205817282581716071062259673102601328016653571348653851198989106243516976,136.05440205817282581716071062259673102601328016653571348653851198989106243516976,136.05440205817282581716071062259673102601328016653571348653851198989106243516934,0.000017929479479886036410825714763064701561061728059469342152348460629127243186980107,0.00001792947947988603641082571476306470156106172805946934215234846062912724318763317,0.000017929479479886036410825714763064701561061728059469342152348460629127243187635321,-0.00043608863988165178426549624766767853183692404395240776009336405059440970404730675,-0.00043608863988165178426549624766767853183692404395240776009336405059440970421487856,-0.00043608863988165178426549624766767853183692404395240776009336405059440970421488455,0.94686372457933467745652786908553673499318499005084546815382853208746082120289426,0.94686372457933467745652786908553673499318499005084546815382853208746082120293503,0.94686372457933467745652786908553673499318499005084546815382853208746082120293506
"{'distance': [0.202, 0.612, 0.698, 0.918, 0.975], 'solute_5': [13.69, -15.03, 15.68, -12.44, 10.09], 'solute_4': [11.65, -5.83, 1.97, -15.75, 6.55], 'solute_3': [9.58, -5.19, 11.97, -0.88, 12.03], 'solute_2': [7.3, -13.73, 11.61, -11.15, 15.8], 'solute_1': [7.05, -5.63, 1.37, -5.18, 13.2]}","{'solute_5e': '141.0 uM', 'solute_5i': '111.0 uM', 'solute_4i': '90.0 mM', 'solute_3i': '12.0 uM', 'solute_1e': '72.0 mM', 'solute_2i': '137.0 uM', 'solute_3e': '19.0 mM', 'solute_1i': '22.0 mM', 'solute_2e': '88.0 mM', 'solute_4e': '86.0 mM'}"
voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1
-150,-0.0000021485645435409131804651922794537346206712357997905446030656446772003261262802535,-0.0002860748180895402054242069810728174574696022407372351412855645994122287432966617,-4.5432061465818822441301080207747921476150054438776543956229253166486486318604021,-1.5751256624224575872799457061156216341257706934359253506422779360824986998385107,-0.0024151080373362061051988305476138490583965284775580717551923894969029013002311151,-4.1399072261742041332960927745463111100039415151961826900312211995136368565012388
-140,-0.000001767159281677855442443198123948171909461832378489115831666420097954025483172256,-0.00015840505505759064386801651974926873064729466521291806445475659340077065272678832,-4.6346767965456809678154591112421690447415546471411516364086503150434680651988029,-0.87206136124606977710262000258342190640123070018183909892215919730936287012906195,-0.0023343942296548502993013394614571459573240795321939946901843299635190978467361156,-3.7772863247897933686995283486748821342477236619824165635132105759914646006664736
-130,-0.0000015331669037604050377180335609526554593531586059385499309485810546083323411887683,-0.000086591721460385628133694528773292618150043569408502145722554413563822631598490818,-4.6545147630830036319564376111570159696266692962215128839064911284731034715112164,-0.47676063843036694125620470948393568877486055780791204337905963083047096205132745,-0.0022288932484120606352489807095665716897115638945946338537438597778509555551462585,-3.4830448889209993466121944640154868988253514880633390149903744674240470311063399
-120,-0.0000013809770972823788783493828994392454012815722729535702886356683465881311583920942,-0.0000469485488540497287784859654080156431522293721791337399019304504238692793181698,-4.6215816069867815719627590127138380196367523192625034882372336815845222891461685,-0.25855632965094926078695796190250702375716449975550155059071542654697748520587471,-0.0021114498149712478391028619136395765062172594236524616789019440975630299025430323,-3.220828552309067843518201238219130450888499164154895131701504934536092355754821
-110,-0.0000012720325194662643269497694266896014999735606391179679532854106208209440650116935,-0.000025324016823974161104055292606806978035157612028904846781612506950571613833714386,-4.5492379837614354119674713298204872313569859991501945391352038685405062165334549,-0.13951075165936782329272398467137622265142974174478225139026606785272946044299464,-0.0019902590451090643224346978849887582091473105059227223928517107115876004027521768,-2.9704414294549200036571652383731792995401084756471136000643251029654209407435378
-100,-0.0000011845893156592811344873258280002781029321642877264693813081346526672333003158799,-0.000013616126609144744062403854572930322361185471581976667920485283017605754753919017,-4.445637508283680041619027871570121821350513365646149279026289408421109408657794,-0.075036139325222061795036214119014703578235421790673143849382833732459294893789255,-0.0018701953921037840586303525311613935853815700447546889040117730338877882302315821,-2.7217832026234116456476991007049944932898178260761127287331968967558544020466178
-90,-0.0000011066591640400866367605679770946978400332306901018584483035191505663290615348432,-0.0000073065776062710655729788490580895892155110504914911441383896032113202066881602337,-4.3144195006756875228057902778779159251009594771182148971013466135068446833228197,-0.040274136625533739343942084214453197948178992638000388325059880740643108482555097,-0.0017539794600649290293121856295301090718948383059812172983069966868775651792684911,-2.4709669845125471899952444280605499032151213633772043862475153384344849258667977
-80,-0.0000010316319435238157146944429450832081370457451817236601043482714552112582816693919,-0.0000039159380773240571723783050232426280893760678486514651701769657276052440833478871,-4.1551660624876312244402454118860024944741013556746656644679047531649885350869967,-0.021584381905824288667390115456282933718712328135895120236511138630949740092440237,-0.0016430113742121570811077382432864621596816741516714574180290416830437570565034596,-2.2180761170247774123954374875252222723180980713147298577547817419363964679119882
-70,-0.00000095563910856750588803941569384965500834983434967551574716812364926985885186570467,-0.0000020969897547333367882651799288588036594780227877890444410596534085587869796373103,-3.9633937767409877021717418832266596169695460670225105708370784841896137145678859,-0.011554307947912728353736415089670542976246986950065514012694433337493409899215362,-0.0015379108988568091392207709071116864347636533703007300625852655615543306076250364,-1.9656869163205983971929289743708091752738730552826695094220998450524610506844644
-60,-0.00000087588796359359687970553406220003835581048841593649578726728927230162493920381948,-0.0000011221047987989033053251885288873346474119880529959479321561865588216345175221953,-3.7299830694998670741823100770560108548839446759197127244654209110666928812604665,-0.006178857977826956210469387303169635659077103377577321811889895181272125781886042,-0.0014388493326897726082054256626782024113395251357818567424139286751036930051177173,-1.717503581578722715637566722304788919908199562466197266841051743146977823210135
-50,-0.00000078951384532323885744449644126187798831994236621947893753036828545218896561219946,-0.0000005997000436898176515669422474786071522260674228326614581894443103201640526341592,-3.4399486012019643101881696145698164975114479868773362942493044042337699949191124,-0.0033012006605988052473523946049599765070693825323209970074565693041206740025643043,-0.0013457469179669237449289666277021462455241140462669855623917791674470667783312142,-1.4771014076223541226853989457101628384244190061606598815284815512223226154360116
-40,-0.0000006927293056502230104192528342863697294539614724535516284073802534776664038430825,-0.00000031943197201302982541693291125283849282959173665762097211812326482658420205490232,-3.0703954931514990264649865195249218734052031421289476816077798894129358236871564,-0.0017621394039978069939039183205741179094664562302825049786175172666991182059475372,-0.0012583875780988398198148102485244456553728433887360818357681477591475392621030818,-1.247211711865008562424348026225613450880783676778985212637375394610617485387522
-30,-0.00000058009007303535436565403553747267566000423793445205382154694320521724886900124899,-0.00000016831811684719306488350544273531430594023929596301688690934124499608046873301313,-2.5874059114282909353020019601870605229516033727513487468979440784046786289132999,-0.00093963001117142866038729216701743052923936573534615724418410362077202475077397449,-0.0011764842083309677163497395075025368461282372807269133218236774583053108658249439,-1.0296348700206717896863838676565987165847287656352224944512073904511288104338831
-20,-0.00000044366552007801990003146191612092275993014758177205117783960083340101343795736273,-0.000000085455945627035019654648244217506900294003855904179709169856334535708472106652776,-1.941452712163050699135468299213971587132928326845243169506162172481728335012466,-0.0005003502023138306840669353737897204391984147600245565526426612066291726535504523,-0.00109971474292580433962463926057036316477002911299415405454151907259560086129305,-0.82539395699327709865311193372018641116580337627641084786552704333071191181233939
-10,-0.00000027192066223866769059324151762074495871848320184585178206666266838541964720227463,-0.00000003755912442893307834846527952229802998110848488801993825603849456824318552939189,-1.0607340492652325595319142290358717408498278166938914803841563141053249828380717,-0.00026589969060751295843858187015638171068046516556127046397178420063174339630345465,-0.0010277408785614347771924502801065213360606086198210890311359346339280897248068517,-0.63482280908496089367966614563193855077964740228024572312112661857171266004684736
0,-0.000000048141200191648626532489886901257620529653360504431179404241639397198307863979703,-0.0000000056033623664433130374346704481133371594717765382853960163016874157376044956241742,0.15845390847269261155871151957750597123681580474321272003884863449747548951898066,-0.00014086964818608696609360945282908332948147107930863117374184187856083480790450926,-0.00096021624505585023097860499901849216008979099789111075846986711795286775062024587,-0.45757793408627872295831681552762331458387614679731093401955508249817598494758892
10,0.00000025180066666168908492156996780852771400837410722726031896900549030349856462597571,0.000000022739998974234167042214200950830449966217715265846416737368746973010596396457414,1.8655772809117547234773697013313658776601119309027039986308572651225305724387032,-0.00007425355527982698881579696215881611000179273291805414026953436390105916658018078,-0.00089678776830639912318978941466942365587957392543099720788135073020566272259645241,-0.29266837084935921397195721634805469289971353407880700561714244922117276434388334
20,0.00000066263145374469018278873458133477433239718661304483015504155492959154255623778057,0.000000057885947642483703481038878663776277893089502223696990087689801004264761919367766,4.2757814823414943997792891786617935228032672890350682588901200189664193923975118,-0.00003877992837623646710233349967648615032085628491958589707759380336229946434404285,-0.00083709212151884896586334947233912473278694473052635336087348359368988172455550715,-0.138551983489130366374800773023659018261792363724296088628743870460972864709312
30,0.0000012342363997679385965315966872334827343596999325082555460906898813790447272689933,0.00000011219477939519335236702223671802928971574194801067064307548028282865233963172211,7.6984766590405922031078002546521786848297868145689840760807853454698198973108267,-0.000019853279521045964180950252005033707671273934035533363173146277408720612218710907,-0.00078074799219246884220568980672676417518996475950676865827548467937704377814937854,0.0067103769245434384556463222590200460786517155558011128515421395218214600762074318
40,0.0000020381998963055385382227582983997650894620167523787035212742637812437697765788556,0.00000020435102961678933112624109287756747630317974863401926053831681802112463581748253,12.578326803126319085587871503447900381228572226341553106915163157583369823387825,-0.0000096358658168180186596318103994347099494813867513799095289774076643228294217676047,-0.00072734409375092531459931259112693766397195018105145353101776013984204202793167657,0.14527463017807709654874143786184185777144402086533790916210632325185256264620077
50,0.0000031771872576425710194676440178158005381974740648356299766251645643287585373868927,0.0000003658319171420691701766194183214701166689081143888216985732192403239301934536248,19.553978581561993520825975271426586616366476904544226954363739401705369466602041,-0.0000038757466923540087120204131955983301927891127711834763874143998425069981467858413,-0.00067642223727187210614741390842981023996118972421099007389984727783259764844736309,0.27933794371904955539062098735682553471037277341077423370301800412207238795585241
60,0.0000047983918077551674914263815898069083516483231237783463329374033920568810572609735,0.00000065173665645409940205115044811597649041437768982522483663202870177765774681410584,29.542144660946623617425781512107603353297796219778491153396213868468955691096478,-0.00000019897952286810007900833183133262000986416380974066919109681752732432159206000546,-0.00062745426042107059708846739343999373839757221592329641472117115811123854981778428,0.41098959830811288701741006612555809961906497291077573666993152494779964562346154
70,0.0000071127886983154147140871099588485562255106145501613467924741454674133981627409226,0.0000011597758470553359048395363681801254569991395165939463898686502506010275731345145,43.857896075121076757763104042208929037213883074266136766018346036600803540491256,0.0000028219991042466011655786561192872443958033651399805088734188934872563910658139484,-0.00057981116397024793398007562119259998944191920834438942342781034808155952233303975,0.5421018675932897314377138352595485828386505781183505007009036179647572230045858
80,0.000010422672871857767163116385550710434323783011511335923634690367532166339320769449,0.0000020641517541490108937884644534593977850088732009120890121191930425109162414045522,64.386617087676714785245457099023318743849964699032939622206555160169316459064322,0.0000061971001979801824651590678481377581770544407264552556324945977315258615101507218,-0.00053272244558010324576749742707903044355057616056223166852409410322266816086373903,0.67427082515637778104494984077545242651175273286847643872702118895608602132843686
90,0.000015161002433446979913054902289173085890767789295284516733078999752007785300794108,0.0000036765595820208268114658513714913766019437425501465664814431339034472952010775484,93.829591808099952381823784972488425008861402025962835128775621135984087654138858,0.000010855986037029122064969292878910523904811115049162348319155936822297155461197003,-0.00048522343468004163142253692403586966108032395398419253936848427670438000328673145,0.80881756705480358911195137134870923195550923096945453806397894849283679028705699
100,0.000021947544685161443265715126166815937512021135574918193195998842150272716932090676,0.0000065569222207055257038372825563905987262752946532376238579244884697972762882997563,136.05440205817282581716071062259673102601328016653571348653851198989106243516976,0.00001792947947988603641082571476306470156106172805946934215234846062912724318763317,-0.00043608863988165178426549624766767853183692404395240776009336405059440970421487856,0.94686372457933467745652786908553673499318499005084546815382853208746082120293503
"{'distance': [0.202, 0.612, 0.698, 0.918, 0.975], 'solute_5': [13.69, -15.03, 15.68, -12.44, 10.09], 'solute_4': [11.65, -5.83, 1.97, -15.75, 6.55], 'solute_3': [9.58, -5.19, 11.97, -0.88, 12.03], 'solute_2': [7.3, -13.73, 11.61, -11.15, 15.8], 'solute_1': [7.05, -5.63, 1.37, -5.18, 13.2]}","{'solute_5e': '141.0 uM', 'solute_5i': '111.0 uM', 'solute_4i': '90.0 mM', 'solute_3i': '12.0 uM', 'solute_1e': '72.0 mM', 'solute_2i': '137.0 uM', 'solute_3e': '19.0 mM', 'solute_1i': '22.0 mM', 'solute_2e': '88.0 mM', 'solute_4e': '86.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,40234355634019246.127360308867976063114106528517893482797242116001942376267749528,0.0012802625397637648683239470615051611235705252038384789013394294222384245224873967,40234355634019246.126080046328212298245782581456388321673671590798103897366410098,31426644445477037558.30743475275938135421593560165902421823064829152174803444249,80468711268038492.254720617735952126228213057035786965594484232003884752535499055,1.0674976926325511664359244341445764897112068345979438902670992450409381368314524e-76,1.8351858179575694828945997708450849088621500774427097943175369874108257581720157e-76,1.6045225269596856347458529706032968929734561223964868491218355324214595610855974e-78,2.6374602591848413384215566918642974428726377760926811795128923508253369238951782e-77,6.7217054086037816078446508150897641193158713773981604139295817048089527999223187e-78,1.7248339454084668773357785837515682801844796893683826020158205266833813043201179e-83,1.2699157755526183657788502048823225459412010133738694975754986223051068761627658,8.1699157570815415256421027159046719016886208414891497720644398450510220037627264e-77,1.3964094201819746763493863753416667543737186913889265545047430047582271619124523e-76,2.70261242104717648451992029937500600419111297352232583480191644518046266723992e-76
-140,37575317754420191.532124433989707901573071976581610714215104365402839584732769361,0.0020939770784509807859783886589289673777318214179892420927749531344550643520110407,37575317754420191.530030456911256920787093587922681746837372543984850342639994408,17944474245256078411.107561861211344166437326852808763712010599807165018443645006,75150635508840383.064248867979415803146143953163221428430208730805679169465538723,4.5397619148035669275419856046436930191077568207416667615810741889491141722533344e-77,9.0679769828491668566556694559404195496718003826580954542748886436770213933205484e-77,8.1385768121739639291970991675804546739520901871884878286600330553834873926286544e-79,2.3561812403120219406419063004588492482231763689593614374423800361116702490317413e-78,6.0217034651732748657479054980854348572039299416088915126044182399417720190019267e-78,3.6624067943191671373040185502973962060247275661174773505614543102134655020851746e-83,2.0690545826020378274751119341572228898031355218480914455189201955555020907553798,-4.7923307581430422614219164072285624920781791015544332363709230095945430181831376e-77,5.428600029583774432012875368292518564855724242947853395143320112072954626128577e-77,1.0907331194811247530096760464941987437790428202576100611885382948052696532440095e-76
-130,35092701624305369.608002158584781872227892616217232690084130284056432599395786904,0.0034248756554942089398066005658334746336851279599568748708576448526056303280261914,35092701624305369.60457728292928766328808601565139921545044515609647572452492926,10246416265656073603.797789018562063222810724833164575176348026881594871570567304,70185403248610739.216004317169563744455785232434465380168260568112865198791573809,2.2570582241507969460249688329417828945031834570616415452027738692680909223358981e-77,6.2072461489741320744964404013877871917396252619385772454857868691836753585229944e-78,3.3735033418337674317915436964064060824671876423579224160248841680346061731103231e-78,1.318367741538122119974941363699136314532928858123821672309412252308680369487587e-78,2.0072344883910916219159684993618116190679766472029638375348060799805906730006422e-78,9.6898750092368872486373478609219020077046020320193935172700386081688208271376174e-84,3.3785196510221422409559871490713483635641756707173744123661721246664619193226931,-1.5144779078649557497349900854919141550070533718140843231966854668117153006015432e-77,2.8477582927185525882594775991931668959169348317600238810120702945166734483493226e-77,6.40230832027443995124466235145766776365176744593753522343514848079620432163024e-77
-120,32775240280674566.770186966286229106912529526347138612768813308835802626939963005,0.0056016722323789643756294430142964809035189761441896857728349499071714577127695077,32775240280674566.764585294053850142536900083332842131865294332691612941167128055,5850974302142506353.440569405980936091256568394163345200235504821314877125657568,65550480561349133.54037393257245821382505905269427722553762661767160525387992601,8.1172420390863511578218237408441969729852371528409195615055631824614247856198044e-77,1.3898833768355121818981160029194393059764813086514640354022522772302577433214531e-77,7.1265258096238336996596360586585328492119338944811111038525678049731055406955575e-79,1.1722664675969832636818140141822718163449459194862886170695982288970810430819962e-77,6.9494168841775609094905800145971965298824065432573201770112613861512887166072655e-78,4.0128830786333380124726198642958787791608371602616940532093413675705573199249934e-83,5.5218377661963674111705406417198049478721350729230569772622945300058269332077923,5.3074885901147770959044061036898482920670489275327990447230228701576004840050848e-77,7.6894812292402993024990292285728578205947909094891455654166990694442673096932712e-77,1.5077790047675839968014084520525500465948317688392326488153240856692476077371586e-76
-110,30612663877429463.107186596920107433169216602125617780840497408453940722743747211,0.0091620061442719983715270755792961706286097608734926434067506859121262521928777943,30612663877429463.098024590775835434797689526546321610211887647580448079336996525,3341262098647272557.1563860135240531208871596447833727513269872550590468213250929,61225327754858926.214373193840214866338433204251235561680994816907881445487494422,3.586785183972749954774145785181162654516919798574965284397394911236325317297005e-77,1.6192816040802083672599409742750749195842500683318027596919444006566109630929551e-78,1.3119765340350386152701800406805538655095046940357607646071776084747085570111866e-78,1.4205504659305269109808206243881142401758625908446274243574980199052500677491296e-77,7.9952029201460288133459585604831824154472347123882761259789754782420166302714657e-78,1.5692007589143944405139212016317601840242107129669920524751064805592338189454652e-83,9.028474397697011845695184150462860902032778867332239779571598962221866080848608,-3.2514569264968312459424357423206002996485277904021982698184090714938952725449452e-77,3.6584060057026859573321074654623059113515006610101022402565360992815609279433824e-77,7.2611071117223177129626724642735853929514593376443439632907887006942336843101448e-77
-100,28595794071393573.773394639897974886058585873005606431660744841304346600461119702,0.014985231749632112578162403609963377578013044521396458434485488625909094547954402,28595794071393573.758409408148342773480423469395643054082731796782950142026634213,1908265053831790121.2459793458860517834581265177120059782121040290651606978931565,57191588142787147.546789279795949772117171746011212863321489682608693200922239404,5.1133481571422458702759410506753177569283607565488370201864053860871101513508811e-77,4.1291680904045313365128494844014410449398376742460970372144582216743579558870354e-77,3.9072021127098126700241902577519507947325044373403281107475709211807059778406671e-79,3.4853305301257995217784480978876005645617060350621293574019863891486771502505575e-77,1.9718127033018370638821572905495443552020711769582056521665447962162273081829838e-77,2.8603127621165121625205701042044834210333671696508792858096347624237699992951361e-83,14.764622912403431840630832851293340893693487234847436262922752365702388392440458,-2.7502439083334489320859744916745697922620775216628649620547786764540303706625943e-77,3.3463408896854153532358218470441300770939443773794936867759014025371156775808551e-77,6.8914319357288444547400779317984256402821775508215277828855611318795852362530142e-77
