"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -2.0, 8.0, -2.0, 8.0, -2.0, 8.0], 'solute_1': [15.0, -20.0, 15.0, -20.0, 15.0, -20.0, 15.0]}","{'solute_1i': '1.0 M', 'solute_2e': '1.0 M', 'solute_1e': '1.0 fM', 'solute_2i': '1.0 fM'}"
voltage,current,solute_2,solute_1
-150,-0.000043290615306797110974166700361848181825474091942747702260371711093296000391229214,-270.22956585515508839802619090368553548430004172177102243497811238215914285203732,0.00050294381626716392796188385322993167995326789747250556165942401943905407274527221
20,-0.000000034496987639754710307897693696024518580426328665513614583222828842774072663449432,-0.000000034496987639754710307897693696024518580426328665513614583222828842774072663449432,-0.000000034496987639754710307897693696024518580426328665513614583222828842774072606947888,-0.000000034496987639754710307897693696024518580426328665513614583222828842774072631412095,-0.22441893219623789685031576066660861730862507842566568565433386382616579702382959,-0.22441893219623789685031576066660861730862507842566568565433386382616579702382959,-0.22441893219623789685031576066660861730862507842566568565433386382616579667144298,-0.22441893219623789685031576066660861730862507842566568565433386382616579651873257,0.0045409653498208458928574566611624722823561673280535339973927649352724660814313094,0.0045409653498208458928574566611624722823561673280535339973927649352724660814313095,0.0045409653498208458928574566611624722823561673280535339973927649352724660815848969,0.0045409653498208458928574566611624722823561673280535339973927649352724659288744895
30,-0.000000021437017908458958456556616997509365243355898972637085367267449599848470139617039,-0.000000021437017908458958456556616997509365243355898972637085367267449599848470094282046,-0.000000021437017908458958456556616997509365243355898972637085367267449599848470063608033,-0.000000021437017908458958456556616997509365243355898972637085367267449599848470069805509,-0.14389971628177318202039548704147209452171529970042142311242227927349289293871397,-0.143899716281773182020395487041472094521715299700421423112422279273492892655724,-0.1438997162817731820203954870414720945217152997004214231124222792734928924677721,-0.14389971628177318202039548704147209452171529970042142311242227927349289242908623,0.0050428109858960805858310117319845779522337661629359380223635375361914057500974755,0.0050428109858960805858310117319845779522337661629359380223635375361914057500974757,0.0050428109858960805858310117319845779522337661629359380223635375361914057518581471,0.0050428109858960805858310117319845779522337661629359380223635375361914057131722739
40,-0.000000012933047921910666120618162562195708492328979390460990974433490574276735395422543,-0.000000012933047921910666120618162562195708492328979390460990974433490574276735327420053,-0.000000012933047921910666120618162562195708492328979390460990974433490574276735363859227,-0.000000012933047921910666120618162562195708492328979390460990974433490574276735353353497,-0.091922379531601990017627766737959999723987403120775368472413944640414983777772603,-0.091922379531601990017627766737959999723987403120775368472413944640414983353287646,-0.091922379531601990017627766737959999723987403120775368472413944640414983580711849,-0.091922379531601990017627766737959999723987403120775368472413944640414983646290691,0.0055958716574655806073016811115743866880426998720275094448057297679538136492351855,0.0055958716574655806073016811115743866880426998720275094448057297679538136492351853,0.0055958716574655806073016811115743866880426998720275094448057297679538136492170327,0.0055958716574655806073016811115743866880426998720275094448057297679538137147958725
50,-0.0000000073765017131613105949902478035302696454520946076619926003953557156828443282513019,-0.000000007376501713161310594990247803530269645452094607661992600395355715682844464256282,-0.0000000073765017131613105949902478035302696454520946076619926003953557156828444703705957,-0.0000000073765017131613105949902478035302696454520946076619926003953557156828444086082731,-0.058456861459552315692386467561999998826838656562319535395315367221374798202483828,-0.058456861459552315692386467561999998826838656562319535395315367221374799051453741,-0.058456861459552315692386467561999998826838656562319535395315367221374799086947663,-0.058456861459552315692386467561999998826838656562319535395315367221374799472480262,0.0062056413628557116296108345718254157209313851596224391726100013013685214188981445,0.0062056413628557116296108345718254157209313851596224391726100013013685214188981446,0.0062056413628557116296108345718254157209313851596224391726100013013685214175617292,0.0062056413628557116296108345718254157209313851596224391726100013013685218030943295
60,-0.0000000037207072772629377766371790699176067551070069069974779010188124075184414654333629,-0.0000000037207072772629377766371790699176067551070069069974779010188124075184414654333629,-0.0000000037207072772629377766371790699176067551070069069974779010188124075184414785414982,-0.0000000037207072772629377766371790699176067551070069069974779010188124075184414755834658,-0.036981765884802875843298414164850307160638108651805110325196878127408526638245171,-0.036981765884802875843298414164850307160638108651805110325196878127408526638245171,-0.036981765884802875843298414164850307160638108651805110325196878127408526722418958,-0.036981765884802875843298414164850307160638108651805110325196878127408526740883583,0.0068781885689216065712157545521648817806837464896478977068712075364596748171040931,0.0068781885689216065712157545521648817806837464896478977068712075364596748171040931,0.0068781885689216065712157545521648817806837464896478977068712075364596748182792036,0.0068781885689216065712157545521648817806837464896478977068712075364596748367438273
70,-0.0000000012844859445817994204353594428793289204813176285434012999668127524987378177216614,-0.0000000012844859445817994204353594428793289204813176285434012999668127524987377497191714,-0.0000000012844859445817994204353594428793289204813176285434012999668127524987377434629752,-0.0000000012844859445817994204353594428793289204813176285434012999668127524987377465573929,-0.023258444807108765541128588401672995910588516030046375648048257167199700712430258,-0.023258444807108765541128588401672995910588516030046375648048257167199700287945301,-0.023258444807108765541128588401672995910588516030046375648048257167199700250213544,-0.023258444807108765541128588401672995910588516030046375648048257167199700230897582,0.0076202150858833481720864654367363524734625720918187765462268581325620933234041475,0.0076202150858833481720864654367363524734625720918187765462268581325620933234041475,0.0076202150858833481720864654367363524734625720918187765462268581325620933240644746,0.0076202150858833481720864654367363524734625720918187765462268581325620933047485108
80,0.00000000037567828236215072962967201666359998666742441905981099057826781810694382559486869,0.00000000037567828236215072962967201666359998666742441905981099057826781810694384826236535,0.00000000037567828236215072962967201666359998666742441905981099057826781810694381805972512,0.00000000037567828236215072962967201666359998666742441905981099057826781810694382945514773,-0.014533185404346878531829074092301048805263780823391804685709414473441240184624913,-0.014533185404346878531829074092301048805263780823391804685709414473441240043129927,-0.01453318540434687853182907409230104880526378082339180468570941447344124023443394,-0.014533185404346878531829074092301048805263780823391804685709414473441240305566418,0.0084391216733412006536054389810360903323657565960660772161189229812462914197105799,0.0084391216733412006536054389810360903323657565960660772161189229812462914197105798,0.0084391216733412006536054389810360903323657565960660772161189229812462914210971674,0.0084391216733412006536054389810360903323657565960660772161189229812462914922296441
90,0.0000000015487407757766627428255092434161399233287952214981608524500192833039265106305544,0.0000000015487407757766627428255092434161399233287952214981608524500192833039264766293093,0.0000000015487407757766627428255092434161399233287952214981608524500192833039264924002875,0.0000000015487407757766627428255092434161399233287952214981608524500192833039264706855922,-0.0090186165022473708734202217274958865781710701696791564818825773042475307835260886,-0.009018616502247370873420221727495886578171070169679156481882577304247530995768567,-0.0090186165022473708734202217274958865781710701696791564818825773042475308996562187,-0.0090186165022473708734202217274958865781710701696791564818825773042475307641088114,0.0093430809595402360643558135063409362819150888851739905660420929618485765116806813,0.0093430809595402360643558135063409362819150888851739905660420929618485765116806814,0.0093430809595402360643558135063409362819150888851739905660420929618485765128472854,0.0093430809595402360643558135063409362819150888851739905660420929618485763772998762
100,0.0000000024231219099711445216160903408302317142585125049762294349851916973922156684988706,0.0000000024231219099711445216160903408302317142585125049762294349851916973922157931701024,0.0000000024231219099711445216160903408302317142585125049762294349851916973922158170362286,0.0000000024231219099711445216160903408302317142585125049762294349851916973922157713077962,-0.0055566317539102755156997632210861668233611414468380561990535385923522243818227312,-0.0055566317539102755156997632210861668233611414468380561990535385923522236036003103,-0.0055566317539102755156997632210861668233611414468380561990535385923522234579949136,-0.005556631753910275515699763221086166823361141446838056199053538592352223172549018,0.010341118342532992452228214216443123636057914918582133788095918723648408632620771,0.010341118342532992452228214216443123636057914918582133788095918723648408632620771,0.010341118342532992452228214216443123636057914918582133788095918723648408634306607,0.010341118342532992452228214216443123636057914918582133788095918723648408348860711
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -2.0, 8.0, -2.0, 8.0, -2.0, 8.0], 'solute_1': [15.0, -20.0, 15.0, -20.0, 15.0, -20.0, 15.0]}","{'solute_1i': '1.0 M', 'solute_2e': '1.0 M', 'solute_1e': '1.0 fM', 'solute_2i': '1.0 fM'}"
voltage,current,solute_2,solute_1
-150,-0.000043290615306797110974166700361848181825474091942747702260371711093296000391229214,-270.22956585515508839802619090368553548430004172177102243497811238215914285203732,0.00050294381626716392796188385322993167995326789747250556165942401943905407274527221
-140,-0.000029755765907299689558383456838999856862327395304858210117476593953094974570130161,-185.74255873322827751034397208921960767951015127412268341277348223529645076103747,0.00059925644032145736580631397527132280869338186110842397488258886506123487993763044
-130,-0.000020275813211877181178748729617739055356759463090988377225460825230190841849956361,-126.56704059451841565321572479961467314697112728478064298106176631006822268721197,0.00070752610695375834064471876609786070133854616055461185492222059203771628368593559
-120,-0.000013705871748623225357717604348556352239814750078807028478290091544618852231288334,-85.556411683285028308880117228185958459630574761353998016396227053364752879814754,0.00082834906066006454656200765696169602407963197978091338929596493019641713613469173
-110,-0.0000091978170282447739009349251371654083765016675650305321430226112591343941790935616,-57.416512958006138256861102281391313727881718991644933781154244826357676588165223,0.00096238335770593933704116467180474918927117473416866835400568503110733109466042004
-100,-0.0000061328099591525146354714826574336105658730363686075803749480328532698818927354143,-38.284430277889759533714867308948330201589273225377500270197918776711400467840967,0.00111039752005159763456896109417830136994709808657588743257262329753343086220998
-90,-0.0000040661121318542029941858386212292937968178230918547781902828392507804383680053603,-25.384020606837842017046199301405449387069239256673675280413205927170969627132593,0.0012733126130433565754254072387061430040374392254105038859074806143866552644997864
-80,-0.0000026827446855119847551535570650468670727754017760601382479124234798877259192826617,-16.749125980247549314358382501484445741459169218725635092681505486618327955481971,0.0014522363410502790973531344511527874178883616660588152722129410891192299951401692
-70,-0.0000017626569442186337111047874306511537372586152910983198808710934988078950540259567,-11.006149315026518145492422927921903794587573456626875559681315313343973248677369,0.0016484895399950272152476622179307012400446734854613128805500948344103733002528928
-60,-0.0000011540212806898250787321859141826136815991209037001012358837262612459064813315468,-7.2073557220018671646875376430965934294230755928902020466631997307325341201204806,0.0018636266381834666897784616992042751397032097628803290590311291154541628387337629
-50,-0.00000075324163099217001835992982205182659591750627643104311422622178301497648123511414,-4.7060817445642818594541332219710304271237687129143147029948644234888751945566411,0.0020994522067037998013938409044643346149355664974178825235152854041238224681878684
-40,-0.00000049031868139436270753702588757101487431162586305538685671153889631809704256524246,-3.0653819978318551161341253843204693191902015080301161178802261890323189900881124,0.0023580357624858217457240285267957099308858661033225995521661786595755370958843918
-30,-0.00000031835110890202532415115235537240241413620152928052611390077836951850615343265287,-1.9924938710570986702301820980329439502135428333916126947347731246218067831838319,0.0026417267207299211314024336625947619005597051183864871906305474492443140714631856
-20,-0.00000020613768676795316655861996807813365514248841253778710248286079036128647227976913,-1.2926584441723283541815116500312514923291681487720448124951202082786990985535888,0.0029531710001679942672197961128605519990864084326062562558547399212561498534437631
-10,-0.00000013304503545320435487066570740908121316429024270950169988343954843958550969104923,-0.83708401566973444574446011881797280767148025110325103698215345774391779308134355,0.0032953303904091654606819697549498016617999843214836682865048172528992169422902771
0,-0.000000085494502076973380236933620387881738828700849065289164792529864350194303861667688,-0.5410165569752310414106092847895213156181846286551273395218382597652976830382416,0.0036715054633540208371387733006584748326069381944463348397305440750935117451444507
10,-0.000000054584554932196734303191957108541202165366523499798529919736490305687472642647485,-0.34889828402614045071963601030099471219715336408116480108874096864119243269129519,0.0040853625742539423952312344234034817731189065644800240339989685734632822380225261
20,-0.000000034496987639754710307897693696024518580426328665513614583222828842774072663449432,-0.22441893219623789685031576066660861730862507842566568565433386382616579702382959,0.0045409653498208458928574566611624722823561673280535339973927649352724660814313095
30,-0.000000021437017908458958456556616997509365243355898972637085367267449599848470094282046,-0.143899716281773182020395487041472094521715299700421423112422279273492892655724,0.0050428109858960805858310117319845779522337661629359380223635375361914057500974757
40,-0.000000012933047921910666120618162562195708492328979390460990974433490574276735327420053,-0.091922379531601990017627766737959999723987403120775368472413944640414983353287646,0.0055958716574655806073016811115743866880426998720275094448057297679538136492351853
50,-0.000000007376501713161310594990247803530269645452094607661992600395355715682844464256282,-0.058456861459552315692386467561999998826838656562319535395315367221374799051453741,0.0062056413628557116296108345718254157209313851596224391726100013013685214188981446
60,-0.0000000037207072772629377766371790699176067551070069069974779010188124075184414654333629,-0.036981765884802875843298414164850307160638108651805110325196878127408526638245171,0.0068781885689216065712157545521648817806837464896478977068712075364596748171040931
70,-0.0000000012844859445817994204353594428793289204813176285434012999668127524987377497191714,-0.023258444807108765541128588401672995910588516030046375648048257167199700287945301,0.0076202150858833481720864654367363524734625720918187765462268581325620933234041475
80,0.00000000037567828236215072962967201666359998666742441905981099057826781810694384826236535,-0.014533185404346878531829074092301048805263780823391804685709414473441240043129927,0.0084391216733412006536054389810360903323657565960660772161189229812462914197105798
90,0.0000000015487407757766627428255092434161399233287952214981608524500192833039264766293093,-0.009018616502247370873420221727495886578171070169679156481882577304247530995768567,0.0093430809595402360643558135063409362819150888851739905660420929618485765116806814
100,0.0000000024231219099711445216160903408302317142585125049762294349851916973922157931701024,-0.0055566317539102755156997632210861668233611414468380561990535385923522236036003103,0.010341118342532992452228214216443123636057914918582133788095918723648408632620771
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -2.0, 8.0, -2.0, 8.0, -2.0, 8.0], 'solute_1': [15.0, -20.0, 15.0, -20.0, 15.0, -20.0, 15.0]}","{'solute_1i': '1.0 M', 'solute_2e': '1.0 M', 'solute_1e': '1.0 fM', 'solute_2i': '1.0 fM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,18989090711.323694744866013244545939839409820765956731710644993151746663103660619,0.0000000083628504269429151542878899411480155215805953156457604938940270745758147648756942,18989090711.323694736503162817603024685121930824808716189064397836100902609766592,2270648133338103805.2642083453499631934508357346975033692974603900791855284724839,37978181422.647389489732026489091879678819641531913463421289986303493326207321238,6.8952141312836494014104989237182955220741897459700269659685063672466430923026673e-73,5.7716474964057700950521460047405902066021135944814645619804313356673644695936309e-73,1.1321512424488035462410220715572765359112427009069523272999649222952991705487029e-79,-0.0010271903019866377493470815536612926348743472362516400329324891198659850190580571,1.0826620700939052246995089900853228189810204826251752654364670703807576460511798e-72,6.3776573368122379856357657231952211855370570923452280074034322254785236073748098e-73,1.0051198892789814381862444640939115898142204798468714071332605959945572855396939e-72
-140,18062981829.127596131124014174226147668920250040396756697730211247457844507103444,0.0000000075670199877359505215178293862431341593807573817079728112320914462390490947950143,18062981829.127596123556994186490197147402420654153622538349453865749871695871352,2387066752618957118.3481296197970670288143327561538545335315040482631351305949565,36125963658.255192262248028348452295337840500080793513395460422494915689014206887,1.1057118698117335617081453548149664331638289009097565282308070064887608866493565e-72,2.9453842378174762848349731235854641878955191216902510502346820272926300217302516e-73,1.3012880811117973316741948436506550821389741470685404283360224116400540820807309e-79,-0.0011770690184443737070145253903033087704468613961570685863695728381391432505329673,-5.5212996992329448610101044847780516918418982960758184925761669314792635284237974e-73,3.548423233661993763427963957774558878656178669986318555145959772358846004102581e-73,6.5592593913329872580940529388789857431909699592038496025897247657131356115158258e-73
-130,17182039810.091547088480716490260207922095989528415369443309509291008892515948466,0.0000000068469228279294953364213624042004952246074962348962189005000613134314711138595269,17182039810.091547081633793662330712585674627124214874218702013056112673615448405,2509454282149019617.7233158420490466725904167512028003847929398856811861459034725,34364079620.183094176961432980520415844191979056830738886619018582017785031896932,3.834417007020494674955386011941541970140081568682943696712565632191171131487571e-73,1.5203146279118061831486827357433796912545249255621141833928863575737720491517908e-73,4.845975059195070773897486313008416391160036142519039362298624064391904730137973e-80,-0.0013457489181029495628839040339961369122789936925541380639895816595311168941628562,-2.8247904763511350773079966665731607395645176283537037080695157729361908533783492e-73,3.3783178292406360360937900819687919627881902820040600727377192931262849821329113e-73,6.3398698970822636616746384578074152894927332650428329317079059061020340416943653e-73
-120,16415111481.440657296076364017810980252772380968895937533999723855812326546284023,0.0000000061953519731151947183736521821013442332842955159909168127828280803610636526420798,16415111481.440657289881012044695785534398728786794593300715428339821409733501195,2649584971551936570.0889416530947414827246049117654524269461696717251168317104168,32830222962.881314592152728035621960505544761937791875067999447711624653092568046,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,3.0199850241480582612368150678677528567382473998670851640188418502615520756621111e-74,9.0669996289585485356750547084386229137665531311479553895252478284078955531905847e-80,-0.001532329802600616931330957878496477235888903113134496273168621548477764130465862,5.5283245500648938958641746910288561322168750895872489182613068661458282096663797e-74,3.5192350175812844620875742363578082160627628018742161819533046955997260959013417e-73,6.2761782024751133302388372646234058643488263717226670878397672659507075344826809e-73
-110,15994664536.281023787098690957853388963563040937786201910440523969246035317868282,0.0000000056057862831775411649367235414810490207149942879970790028130978935184882874734003,15994664536.281023781492904674675847798626317396305152889725529681248956315055184,2853241941149195945.7243447531140691357896624932616624648967771318760888121730346,31989329072.562047574197381915706777927126081875572403820881047938492070635736565,1.9977468475925183343907979618700382426016459286775964165319776957464101465993868e-73,1.9977388792145502985977769141171853258148960346548717019857181938047398520649643e-73,3.4024824824507257258416290787204974814576501292816542067223101477857846428676809e-80,-0.0017362119738187843063575839690835966308825113724894951139473899390430505653617884,3.5898533199578948880467585791096714352110283806675480679543915794819654453058747e-73,4.1378485635811172690221141118018145999739334744323491542933376624308267252710163e-73,8.4383701498642403356323157214064018154492986969185635792776418425289215906409102e-73
-100,15614212583.710781772611563509689553275222956000583934295132908698917756416775969,0.0000000050723251865317644147501468127116563000588694133209794311003125836206604962518694,15614212583.710781767539238323157788860472809187872277995074039285596776985675657,3078314581480352987.1268431879981590289715643581021629171596457334303281268178731,31228425167.421563545223127019379106550445912001167868590265817397835512833551939,1.1265659903600810351919484121447897699000596134460261915468446739456671330139195e-72,4.3646282979934475161118432984334411443901644372641763583986196616092029915110899e-73,1.0921005901933602118054901082504523493958450690692253876020594021869489830630365e-79,-0.0019576633381478551641520591463712739622960990098594040857807053504941361429551366,7.5387386223433025587555857123923196351955279355493594427466898583924788072088313e-73,5.1861729370519836234144928217300099787741575894651706499337962645544343931906409e-73,9.620456054416078962648401276647349389686826058037691790846150495741944089405369e-73
-90,15272804295.67993494324136218158011308733646496543611905203182809497507897165939,0.0000000045896296252201688385950058859434570533778139296604494856149988738466465185459693,15272804295.679934938651732556359944248741459079492661998654014165314629486044391,3327676859098904782.3121629930877302242601688953741502710308837849989638035671439,30545608591.35986988648272436316022617467292993087223810406365618995015794331878,6.4619291211162065301362861719023584595760938397171528340758271019378647550225756e-73,1.50271797513335219845542950477538772520873927208221494901809795494702360753724e-73,9.0669980203468018269160177900160687038637504410293362537056143326554808333199348e-80,-0.0021980091411277298604274607485999242279268285591541413067457117744733801377947602,2.5936175115402684591107736814790258752378253178294151114344622298863491558172717e-73,1.6401778755989956791780843437192257595209150451298128961768390064698418225891664e-73,2.7028151425947116498896350988142581501866253770814961056511555664315634434618647e-73
-80,14969585973.636770325561962154453162625295818627829012855847852637967438378438489,0.0000000041528686198255664679554807245783703393918156547589683444193054080028713744343699,14969585973.636770321409093534627596157340337903250642516456036983208470034019183,3604637503380865435.8578828105221206923758252901680502309949463363057725882551399,29939171947.273540651123924308906325250591637255658025711695705275934876756876978,2.5254859031272964932342557873329189877215241282913215465664544878991558151991598e-73,2.5596249110382204271838580339302632463265004778797503779685878784829114192845286e-73,4.9842774648830397180453438401348055469998224534475153750629632479379640090986189e-80,-0.0024595304848120021106205339291382099990128959623261139446039501297482187795773988,4.2765774501831337129243757308088129122449249542790032347463602926942096529676059e-73,3.736069030362700100375357395116694832780657160276574794403353443266077974938785e-73,6.9467636054067694599269277950316021509372853434793092626572427595988067575411331e-73
-70,14703799413.836809505895162503770906325720176369084302315543712329421216674813422,0.0000000037576709194055246396654038610259167671129299430171753710092840038255733420728654,14703799413.836809502137491584365381686054772508058385548430782386404041303804138,3913008810298640208.8637117773855334006486868768876383905878957613434056681599467,29407598827.673619011790325007541812651440352738168604631087424658842433349626844,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.1661708679364395430116173358325881260851312585884974271052898186973545864563277e-73,9.0669986235762068427006566344245265325773014498238184296379768935626363532714285e-80,-0.0027452556741946302299129243746343214911043651423617599258348851100562390820555119,-1.9409316962831610804642757974165783992450392780175945422329919312882699301035074e-73,1.6414912227334785677730780991066327828858602610561396092042999442567538546796097e-73,3.4861455182409698362079022629734027402432449898807200953284024872146171123379341e-73
-60,14474780011.43851606260093885557191144346586998872316677991365243718241137509951,0.000000003400081252543704950255879034013812100778103855479447501018303757435281886286795,14474780011.438516059200857603028206493209990954709354679135548581702963874081207,4257186501237136519.9703768244786182903811239982636972015578816303814706146479132,28949560022.877032125201877711143822886931739977446333559827304874364822750199021,1.2985594365438973554404587130912063072383161953445748355741634391616013213394922e-73,1.2985607724792234348990677798571859839988108403401107942333565331956259210789803e-73,2.9006949492529521721936109543997302685163992349360101179340037571047939521217401e-80,-0.0030587780809013874468650045748416224841650907142621737845808554945278004485972725,2.1287811440587552396844783001300271614157564596604324587815221374506168450362197e-73,2.8244133248367583338067750872485662452283654361896162983944588646300755419372213e-73,5.616029059199416409148557923157274662739094532473700551381078250526499887518386e-73
-50,14281955098.645015499850509749644014661226422013530667601145642951000150055351305,0.0000000030765207416641174582210682287256712937667929576320131086652240132358405043817937,14281955098.645015496773989007979897203005353784804996307378849993368136946686081,4642242421846887611.217810663398835822559110133412035022729825449070675563485938,28563910197.29003099970101949928802932245284402706133520229128590200030011070261,1.1170266506227941451808856692458689652605150852700396353829907083616114762730612e-72,2.0121523710617994055632552187589704439727518173868988711142565886604797585884869e-73,1.4646102306786692980976426707767672374582515542045728037473919673375107091779177e-79,-0.0034041508227066150050975017951063917630533567257552637487575518676449681499499062,-3.2308791887411944877484453916385246792982135789276281082832659781572045079666645e-73,2.0822106129284394087508295380034417774083299559756628425126510210083662902720758e-73,2.9628778892082828826701720045632816261161219417992025207578667966228471812681954e-73
-40,14124842512.7363122014723301047746671306220362518864287385133873710799417477286,0.0000000027837510844214354986583658356857411637296505525275093248029712681637374073259042,14124842512.736312198688579020353231631963670416200687574783736818552432422925629,5074032154592574531.4206498393477147497080037088456575823130839600173055541371501,28249685025.4726244029446602095493342612440725037728574770267747421598834954572,7.0925631912362975648063533846778499712169235754112093083513278845445734443455008e-73,2.1989108853983964905144157654435304629429479985945361377748201730223134895194289e-73,7.734246599389957030751536482620573942212334423227049849214413032113291201238873e-80,-0.0037858561038756472449173441771128518007249497380119657904663405604217634926174226,-3.4154647166642943968263342856890910324391131061188401616131329720228716113795102e-73,2.2240209128004566837812688941357754332956075572321234089738997454665824315480779e-73,3.4833535878987540870713377545046325913478663188773094478199248657549728732645074e-73
-30,14003049390.411343096993401717184787923720546664947502444052645506206672679671659,0.0000000025188421436826941373565921774078979118431131713913914298980342065060785967435443,14003049390.411343094474559573502093786363954487539604532209532334815281249773625,5559319954023823062.8539305595287148040087414501736198010698603298836720846916551,28006098780.822686193986803434369575847441093329895004888105291012413345359343318,6.4162487442927902364139078143779484427538238214711346187476002471292947052116631e-73,1.8310431549066470200262424342483306422740896007939524226434878294501802400043764e-73,9.0669986738453239273493765381252313516367640338900252776323404403048993132673863e-80,-0.0042088292880115324248818816326864653119410190748354481777448143883959769001062317,2.9067729058408426528530932402870525139076263688918352767403925378183037271771116e-73,1.8938372759160621210030064109447243470225860657315910769851289971142878835967559e-73,2.5968490088323162882241636901457666416116786988778796845267304978377379213230448e-73
-20,13916271185.425091625626458143849384169912081393750473219364766104281544889936851,0.0000000022791426217300105134915602937316608110000159435333946847958039663189627673721424,13916271185.425091623347315522119373656420521100018812408364750160748150205141047,6105923803426474141.0172404037845848200941943062010953867885581654139808512968165,27832542370.850183251252916287698768339824162787500946438729532208563089779873701,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-73,1.5503489617056374675675992798658982869482556165942281179875582432684168977179589e-73,1.1333748354873934180348900648581715394310820688379083309039016437066689881583222e-79,-0.004678518377185237093696058231382253291071375611547991143875986898708832896683309,-2.4449255025964739138741969712237244387074726001641849150232960125444066941320872e-73,2.2300792141226854826406577661421320733785103068323090382779208872956996696651637e-73,4.4049454589126567344659810663111595953248048969937913818681313483536139664750647e-73
-10,13864290907.06434372482973251962207942289068023122571108323097335019031666838296,0.0000000020622535251818903905506095809289357851724821141513542505098703878257185576348055,13864290907.06434372276747899444018903234007065029677529805849123603896241787309,6722883844187642136.1840362485058967217221114964527382923232956707425963415380951,27728581814.12868744965946503924415884578136046245142216646194670038063333676592,3.1636409775618491045525145354594935050528152969248259791298241981254741317140044e-73,1.5761229851227901491065950000025169640719820658344231552281580821975414301987108e-73,2.5515240031021183703347490366032842124452100879850152849243349560899843493183307e-80,-0.0052009655891042483122750341014038453812954595596158924106669260707977919842778017,2.4735176331348965534943536500344807962328239157473394594432979270852434015316127e-73,1.6266133133745758148631936231559643971115277921464332040350673957721790873781012e-73,2.3872131111117147757084560166375804572300945737227063305574684094186558047223678e-73
0,13846978577.557879718355412245967936122565017104302315624016748223554823592362196,0.00000000186600415506113742750843001418659921212032927847436929931534738256453613419895,13846978577.557879716489408090906798695056587090115716411896418945080454293046849,7420657955128829700.038298636685705321178592927004425716341708202046775988099242,27693957155.115759436710824491935872245130034208604631248033496447109647184724392,8.9987580286268972236000584996686300394891915934773703647628783598970419793693358e-73,2.4374108861006075682976074885986037027192927598435752183594054992309867074543859e-73,1.0622408226160337703179517210641644619749692643173787196454307047876715641178025e-79,-0.0057829033225409547228248854434437158004992902679640262692004375584462955652590143,3.8126472971059658799866208731209779541955599916484886899402803099911202828069227e-73,2.5504619690959034376915426596816668806341134746122710412294343101468984855122698e-73,3.7304666155622308922555200530874798506970814971576596680296590449749633593100491e-73
10,13864290907.06434372482973251962207942289068023122571108323097335019031666838296,0.0000000016884303817098919256159322791949428698185971658116439138615925260269009450199806,13864290907.064343723141302137912187497274747952030768213412376184378672754521367,8211348870081231654.6106719511496533205172907662252640728224793093627732291328475,27728581814.12868744965946503924415884578136046245142216646194670038063333676592,1.1720870798436740873236684748895721223701326380305375099102436287938093113186676e-72,4.7728180291274444418382155720873102034010135118039908722042121893769178210381325e-73,1.1240661279435427703792495239803165865131509957217966114480134113102291976811149e-79,-0.0064318604626169857130566826487254644560896878476038348298038082793683504300728338,-7.4516511061960371147051895934714844801590036198414758468551576644712138516846352e-73,5.3859745201517702454661634763016127269119365362962109030030359145117874662095817e-73,8.5905971181828725783926509178748236318819168249403835041322676278260544054566851e-73
20,13916271185.425091625626458143849384169912081393750473219364766104281544889936851,0.0000000015277549871198482623964622353957165494006091282022011740205022065146795288379197,13916271185.425091624098703156729535907515619158354756669964156976079343715916348,9108967931867335247.4987285454361281637988229264111629539795582401901759688761994,27832542370.850183251252916287698768339824162787500946438729532208563089779873701,5.0509701590361643566992577702011424645025783019011770980536042761478389572507742e-73,1.5271040742929074586285891212491725689635371806141601034708665861282075560827036e-73,5.6501543988981085959476099874767501174553385344360369212341576781331868752462806e-80,-0.0071562768459752609843610226567040863327355131744368197210040786363111704174429809,2.3826467794639774881912218064003459374215428450011207597965235701736131860241078e-73,2.5460783464157697930317146681835406023671002970691939164004908420577741922303396e-73,5.0946033092921134983057990888219559201763428969507672384534836285235765217532609e-73
