voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.1430644200661815e-05,0.010315818467198935,-3.3615466906676095,0.009277562197644492,-2.5230752114260063e-06,-61.85926835822998,-150,7707201640439087.0,0.010454841432406244,7707201640439087.0,7.3718972117066611e+17,3.5191440652307876e+21,0.010325552353823443,0.01037209311412779,0.010316736541744271,0.05165433981283743,0.010324665368244723,4.9771387475758505e-09,23.027371256097897,4.8404080782894781,0.02310062286983797,0.1033086797228354,-150,-2.143562133940939e-05,-2.1430644200661815e-05,-2.1430666341707143e-05,-7.720003342770665e-06,0.010315818467198935,0.010317832350480671,-3.3719187837817373,-3.3615466906676095,-3.361578837106208,-0.0010391743440997792,0.009277562197644492,0.009276446293434049,0.051651816737626005,-2.5230752114260063e-06,-1.979060471057892e-06,-61.86959302359823,-61.85926835822998,-61.85928940600305
-140,-2.8065988898468273e-05,0.008200959029228922,-3.2957818745070626,0.007341357644758143,1.0029040587196256e-05,-82.66449344837186,-140,6976554506190599.0,0.010392300195147183,6976554506190599.0,6.7131957075762586e+17,2.0333004415283969e+21,0.00821863332688382,0.008348018429504833,0.008208749680419883,0.04109048997361226,0.008168382477222735,3.959291980550869e-09,24.484185263919112,4.3815346414045031,0.018376639820080587,0.082180980036411971,-140,-2.8069948190448824e-05,-2.8065988898468273e-05,-2.8065998426156543e-05,-1.2038699516539085e-05,0.008200959029228922,0.00820659462736728,-3.3040624187798393,-3.2957818745070626,-3.2957144003503345,-0.0008655303545729668,0.007341357644758143,0.007343219325846917,0.041100519014199456,1.0029040587196256e-05,1.851329579949379e-05,-82.67266183084908,-82.66449344837186,-82.66463331806949
-130,-3.7143898525780865e-05,0.006501789538207195,-3.2296938362523635,0.0058158774941626514,3.3614967408034994e-05,-111.094313505084,-130,6315173140253309.0,0.010330133081817518,6315173140253309.0,6.1133511932860762e+17,7.0667987332710099e+20,0.006520855436322217,0.006615801639934027,0.006536912628374153,0.032720461532388126,0.006616569486155299,3.1733883523816435e-09,25.953517876750382,3.9661626691677299,0.014631909576939325,0.065434811087857564,-130,-3.7147067852974347e-05,-3.7143898525780865e-05,-3.7143894464621965e-05,-1.9065898115022274e-05,0.006501789538207195,0.006501209230393101,-3.2363096378922975,-3.2296938362523635,-3.229742258481565,-0.0007198713144277053,0.0058158774941626514,0.005817041313946447,0.032751020554367696,3.3614967408034994e-05,3.055902197957039e-05,-111.10084411164203,-111.094313505084,-111.09422754215588
-120,-4.9573662197344215e-05,0.005106194325078499,-3.1629746845270432,0.004540514024928382,8.095520811764055e-05,-149.98696106744484,-120,5716491107993621.0,0.010268337854394453,5716491107993621.0,5.5671046171773389e+17,1.3190058179605603e+21,0.005136677715874198,0.0053217825536791,0.0051345664835094635,0.025783028800158328,0.005113758123798107,2.49517434208616e-09,27.41216046536697,3.5901681977636755,0.011527882070383366,0.051543444703667063,-120,-4.95761573716863e-05,-4.9573662197344215e-05,-4.957369676316836e-05,-3.048339079569833e-05,0.005106194325078499,0.0050966808282737475,-3.168212606464536,-3.1629746845270432,-3.162890823910857,-0.000594052458581081,0.004540514024928382,0.004533431662430587,0.025852677526070303,8.095520811764055e-05,6.964872591197491e-05,-149.99207482556864,-149.98696106744484,-149.9871772493634
-110,-6.657015598635154e-05,0.0038699885739937974,-3.0950843749028283,0.0034442990872805435,0.00017747930782448509,-203.13486389998587,-110,5174564476554314.0,0.010206912288243126,5174564476554314.0,5.0696668399067731e+17,1.804904829308971e+21,0.003919010307761323,0.00424610905867695,0.0039224449030519455,0.019775376223519964,0.003947648703615414,1.9222967421138586e-09,28.83529585803079,3.2498182175156449,0.0088538327181354147,0.039532089603896148,-110,-6.657207828309366e-05,-6.657015598635154e-05,-6.657018539156051e-05,-4.9021733767525836e-05,0.0038699885739937974,0.003859933878899824,-3.0991197758365345,-3.0950843749028283,-3.0948736667778576,-0.00047814581577140195,0.0034442990872805435,0.0034367573438629506,0.019943524186060352,0.00017747930782448509,0.0001681479625403881,-203.1388115486895,-203.13486389998587,-203.13525450396705
-100,-8.970997744983055e-05,0.0027453343889095533,-3.0251773167796956,0.0024577680202052,0.00037461989374181637,-275.4599391914357,-100,4684012801328460.0,0.010145854172036527,4684012801328460.0,4.616676646347127e+17,4.0438006183652664e+21,0.0028302526744219407,0.0029204359343224517,0.0028298522176656996,0.01421527546138169,0.0031632166453618993,1.444528169484787e-09,30.199316370989436,2.9417336102084861,0.0063696872120465832,0.028430550748416213,-100,-8.971137218920077e-05,-8.970997744983055e-05,-8.970992766103129e-05,-7.911667375348826e-05,0.0027453343889095533,0.0027511360006684527,-3.028097752714018,-3.0251773167796956,-3.0252941287144495,-0.0003664491145729125,0.0024577680202052,0.002463403103092787,0.014589895355123506,0.00037461989374181637,0.0003796627279371023,-275.4627828517318,-275.4599391914357,-275.4596196350864
-90,-0.0001209224003920131,0.0017119837707197743,-2.9519134033992676,0.0015820275649347133,0.0007782260174389487,-372.98569483014757,-90,4239965706949509.0,0.010085161307675873,4239965706949509.0,4.2041625092525267e+17,7.4620116287732384e+20,0.00183991400070773,0.002113468104916194,0.001842245581935917,0.009348070292388155,0.0018471559793056258,9.350168452400233e-10,31.479812900145902,2.6628555999745891,0.0041848228321252493,0.018684415026274208,-90,-0.00012092332863641858,-0.0001209224003920131,-0.00012092239361957334,-0.00012793022998795582,0.0017119837707197743,0.001706393822431096,-2.953885995022837,-2.9519134033992676,-2.951772526917921,-0.00026021801700120355,0.0015820275649347133,0.0015774904655074806,0.010120433332984402,0.0007782260174389487,0.0007723630405962467,-372.98754198612687,-372.98569483014757,-372.9858747438551
-80,-0.00016228023382484482,0.0009309109696495278,-2.8732781001305945,0.0009480008109388034,0.0016153036087107847,-502.1849188918769,-80,3838014532434219.0,0.010024831510211496,3838014532434219.0,3.8285077694570125e+17,3.933027464887915e+20,0.0011514835742809277,0.0012377363922588813,0.0011423441753160004,0.005708005825408622,0.0013839256665733046,6.46352998819608e-10,32.657814345030793,2.410415384653557,0.0025873008336248096,0.011530194596555025,-80,-0.00016228080783983024,-0.00016228023382484482,-0.00016228016148683142,-0.00020695162182500962,0.0009309109696495278,0.0009445319524559181,-2.8745158365228534,-2.8732781001305945,-2.873340846374049,-0.00018377368450694847,0.0009480008109388034,0.000958570490809052,0.007323309434119407,0.0016153036087107847,0.00162897864356637,-502.1860071417927,-502.1849188918769,-502.1846232161261
-70,-0.00021527813946096188,0.00033591563841012636,-2.786329365184379,0.0005427371235102222,0.0034099055903333043,-667.727227033675,-70,3474168560393816.5,0.0099648626077641668,3474168560393816.5,3.4864189273286144e+17,8.5591591191101007e+20,0.0006702301765581201,0.0010345251194436855,0.0006783108532764969,0.0034699362504579945,0.0012357877591284705,3.5531434166972443e-10,33.71589603137901,2.1819066461222651,0.0020256045096149339,0.0087955133613953039,-70,-0.00021527849477530355,-0.00021527813946096188,-0.00021527846025810553,-0.0003343145381479937,0.00033591563841012636,0.0003302769533490846,-2.787099464735654,-2.786329365184379,-2.7873638903038227,-0.00013557372976627467,0.0005427371235102222,0.0005356808221677056,0.006874473931948177,0.0034099055903333043,0.003404537681490183,-667.7278997136813,-667.727227033675,-667.7266639259221
-60,-0.00027902876789910174,-0.00012440568998437341,-2.6868224470554116,0.00030749216145836743,0.007500032070058445,-866.8500659390811,-60,3144815395741094.5,0.009905252441446924,3144815395741094.5,3.174896767478761e+17,5.6825990086919704e+20,0.0004136635355129839,0.0014228716005533215,0.00042313160643721814,0.002194168991992207,0.000776235473495035,4.192252816052032e-10,34.641735702914488,1.9750606666520958,0.0015383642455734643,0.0057940128278047573,-60,-0.0002790290095675593,-0.00027902876789910174,-0.0002790285903422777,-0.0005380692254973573,-0.00012440568998437341,-0.00013211543759439337,-2.6873478358735525,-2.6868224470554116,-2.685924964272999,-0.00011563944497885073,0.00030749216145836743,0.00029907175328958147,0.009687118945294948,0.007500032070058445,0.007492949953302741,-866.8504957070081,-866.8500659390811,-866.8508421745546
